settlement_date,evaluation_segment,wind_forecast_mean_cf,solar_forecast_mean_cf,mixed_forecast_mean_cf,mixed_mean_abs_ramp_cf,mixed_max_abs_ramp_cf,season,wind_outlook,solar_outlook,ramp_stress,absolute_forecast_error_mwh,firming_absorbed_pct,meets_90pct_firming,power_limited_periods,energy_limited_periods,perfect_foresight_margin_gbp,forecast_strategy_margin_gbp,naive_strategy_margin_gbp,reserve_aware_forecast_margin_gbp,reserve_corridor_feasible,mean_reserve_corridor_width_mwh,stage14_available,stage14_day_coverage_pct,stage14_mean_width_mw,stage14_energy_band_feasible,stage14_recommended_start_soc_pct,stage14_downward_reserve_mwh,stage14_upward_headroom_mwh
2025-08-30,development_oof,0.33542586614688236,0.09840793902598456,0.21691690258643345,0.013130846600290631,0.047312214970588684,Summer,Medium,Medium,Normal,89.26639957261753,100.0,True,0,0,6819.539511701401,2010.8912410273117,2286.2372500867086,1937.5181167824887,True,103.40552910547773,False,,,,,,
2025-08-31,development_oof,0.5274880956858397,0.14376272621044942,0.3356254109481445,0.015346334000165981,0.0666394680738448,Summer,High,High,High-ramp,47.78565809312548,100.0,True,0,0,9447.078048394997,5990.580894994162,1969.976684734595,5341.460740173906,True,88.56917686632629,False,,,,,,
2025-09-01,development_oof,0.47584623470902443,0.11677983200979723,0.29631303335941084,0.013451092353534479,0.052517287433147486,Autumn,High,Medium,Normal,54.17268484341453,100.0,True,0,0,10393.131680007393,9184.47996021438,8866.072508900535,7778.505818158836,True,93.26973090881154,False,,,,,,
2025-09-02,development_oof,0.2182258859587212,0.10176026933246853,0.15999307764559487,0.009405596255116206,0.03257610648870471,Autumn,Medium,Medium,Normal,26.34865937016698,100.0,True,0,0,2154.843374698737,-271.88038506491114,-1086.3302816917246,-244.4936695317533,True,113.54383380161704,False,,,,,,
2025-09-03,development_oof,0.28571005507061875,0.07669355886063535,0.18120180696562704,0.010765263239212198,0.04570188373327255,Autumn,Medium,Medium,Normal,54.76974369633254,100.0,True,0,0,3213.3431462150475,1530.3077208801965,-166.82951218999017,1583.251949937211,True,107.33354587156144,False,,,,,,
2025-09-04,development_oof,0.194241604146858,0.10682622449500435,0.1505339143209312,0.011141543213852854,0.046980120241642,Autumn,Low,Medium,Normal,28.17321017102526,100.0,True,0,0,3294.587217233505,380.1510108603826,1653.0860110221763,609.6344306869587,True,116.46353363765768,False,,,,,,
2025-09-05,development_oof,0.1471976143463204,0.1370979459807131,0.14214778016351673,0.012755723311177766,0.03850008547306061,Autumn,Low,High,Normal,31.81019558553041,100.0,True,0,0,3305.46867755909,2366.08527939948,-96.51602093700672,2110.5350040202766,True,117.48430550639236,False,,,,,,
2025-09-06,development_oof,0.31636160208533204,0.11285657562893898,0.2146090888571355,0.014535982567546549,0.04252272844314581,Autumn,Medium,Medium,High-ramp,102.86413893787946,100.0,True,0,0,13160.344288996324,7757.351488413412,-2824.6614951585225,6705.380308104601,True,103.1321859446418,False,,,,,,
2025-09-07,development_oof,0.43193931380907696,0.07101608119273803,0.2514776975009075,0.011922448872307236,0.05386860296130175,Autumn,High,Medium,Normal,123.46828407270631,69.72298651134061,False,0,23,7119.993054559814,4774.326632233677,1300.9404573350266,4056.439813792111,True,102.29143202576476,False,,,,,,
2025-09-08,development_oof,0.20625570447494582,0.1357441334133303,0.17099991894413805,0.011241559385477265,0.043397396802902194,Autumn,Medium,High,Normal,65.66404658626226,100.0,True,0,0,15040.56500788624,10844.968668434683,7657.138029634762,10599.883195283548,True,111.98198450158228,False,,,,,,
