settlement_date,perfect_qr_availability_gbp,forecast_selected_qr_availability_gbp,naive_selected_qr_availability_gbp,forecast_capture_pct,naive_capture_pct,forecast_regret_gbp,naive_regret_gbp,forecast_mean_abs_commitment_error_mw,naive_mean_abs_commitment_error_mw,forecast_mean_pqr_mw,forecast_mean_nqr_mw,naive_mean_pqr_mw,naive_mean_nqr_mw,perfect_mean_pqr_mw,perfect_mean_nqr_mw
2026-05-01,3817.875,3607.625,3318.25,94.49300985495859,86.91353174213404,210.25,499.625,5.208333333333333,12.5,13.020833333333334,11.979166666666666,14.583333333333334,10.416666666666666,13.541666666666666,11.458333333333334
2026-05-02,3242.0,3123.875,3071.875,96.35641579272054,94.75246761258482,118.125,170.125,9.375,10.416666666666666,11.979166666666666,13.020833333333334,13.541666666666666,11.458333333333334,15.625,9.375
2026-05-03,2390.875,1901.0,1829.5,79.51063941025775,76.520102472944,489.875,561.375,22.916666666666668,21.875,13.020833333333334,11.979166666666666,15.625,9.375,15.104166666666666,9.895833333333334
2026-05-04,2884.5,2747.0,2022.5,95.2331426590397,70.11613797885249,137.5,862.0,6.770833333333333,23.4375,13.541666666666666,11.458333333333334,15.104166666666666,9.895833333333334,15.625,8.854166666666666
2026-05-05,2863.375,2647.125,2472.25,92.44772340332649,86.3404199589645,216.25,391.125,7.291666666666667,10.9375,14.0625,10.9375,15.625,8.854166666666666,13.541666666666666,11.458333333333334
2026-05-06,3171.125,2992.875,2968.0,94.3789664551224,93.59454452284284,178.25,203.125,13.541666666666666,14.583333333333334,13.020833333333334,11.979166666666666,13.541666666666666,11.458333333333334,15.625,9.375
2026-05-07,3936.625,3432.0,3417.375,87.18127837932239,86.80976724986505,504.625,519.25,7.291666666666667,13.541666666666666,13.541666666666666,11.458333333333334,15.625,9.375,10.9375,14.0625
2026-05-08,2801.75,2753.875,2562.375,98.29124654233961,91.45623271169805,47.875,239.375,2.0833333333333335,4.166666666666667,11.979166666666666,13.020833333333334,10.9375,14.0625,11.979166666666666,13.020833333333334
2026-05-09,3118.75,2937.125,2930.0,94.17635270541082,93.94789579158316,181.625,188.75,12.5,13.541666666666666,12.5,12.5,11.979166666666666,13.020833333333334,18.75,6.25
2026-05-10,3023.625,2777.875,2738.0,91.87233866633593,90.55355740212494,245.75,285.625,10.416666666666666,12.5,13.541666666666666,11.458333333333334,18.75,6.25,17.708333333333332,7.291666666666667
2026-05-11,2598.375,2351.25,2127.375,90.48924808774714,81.87328618848319,247.125,471.0,11.458333333333334,14.583333333333334,13.020833333333334,11.979166666666666,17.708333333333332,7.291666666666667,15.625,9.375
2026-05-12,3524.5,3444.0,3144.625,97.7159880834161,89.22187544332529,80.5,379.875,6.770833333333333,13.020833333333334,13.541666666666666,11.458333333333334,15.625,9.375,15.104166666666666,9.375
2026-05-13,2184.75,2153.5,2073.125,98.56963039249342,94.8907197619865,31.25,111.625,8.854166666666666,12.5,13.020833333333334,11.979166666666666,15.104166666666666,9.375,10.9375,11.458333333333334
