service_date,delivery_start_utc,product,family,direction,window_hours,cleared_volume_mw,clearing_price_gbp_per_mw_per_hour,forecast_clearing_price_gbp_per_mw_per_hour,prior_same_window_price_gbp_per_mw_per_hour,naive_clearing_price_gbp_per_mw_per_hour
2026-05-01,2026-05-01 03:30:00+00:00,NBR,Balancing Reserve,downward,0.5,0,0.0,0.10022794053059192,0.0,0.0
2026-05-01,2026-05-01 03:30:00+00:00,NQR,Quick Reserve,downward,0.5,300,6.28,4.979494469114094,1.48,1.48
2026-05-01,2026-05-01 03:30:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.32081801582139197,0.0,0.0
2026-05-01,2026-05-01 03:30:00+00:00,PBR,Balancing Reserve,upward,0.5,404,2.04,1.7726589429308233,2.03,2.03
2026-05-01,2026-05-01 03:30:00+00:00,PQR,Quick Reserve,upward,0.5,301,0.01,0.14641492536344325,0.0,0.0
2026-05-01,2026-05-01 03:30:00+00:00,PSR,Slow Reserve,upward,0.5,1820,1.75,2.2656968864203435,2.55,2.55
2026-05-01,2026-05-01 04:00:00+00:00,NBR,Balancing Reserve,downward,0.5,4,0.0,0.11114476973156104,0.0,0.0
2026-05-01,2026-05-01 04:00:00+00:00,NQR,Quick Reserve,downward,0.5,300,1.0,3.309546455565573,0.0,0.0
2026-05-01,2026-05-01 04:00:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.3396898158203481,0.0,0.0
2026-05-01,2026-05-01 04:00:00+00:00,PBR,Balancing Reserve,upward,0.5,403,2.01,1.3644732449023764,1.99,1.99
2026-05-01,2026-05-01 04:00:00+00:00,PQR,Quick Reserve,upward,0.5,300,0.25,0.5663546028927752,1.78,1.78
2026-05-01,2026-05-01 04:00:00+00:00,PSR,Slow Reserve,upward,0.5,1820,1.75,2.9927822757918103,2.99,2.99
2026-05-01,2026-05-01 04:30:00+00:00,NBR,Balancing Reserve,downward,0.5,2,0.0,0.07916244209479245,0.0,0.0
2026-05-01,2026-05-01 04:30:00+00:00,NQR,Quick Reserve,downward,0.5,300,1.0,3.832699763507074,0.0,0.0
2026-05-01,2026-05-01 04:30:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.35997135788895324,0.0,0.0
2026-05-01,2026-05-01 04:30:00+00:00,PBR,Balancing Reserve,upward,0.5,401,2.36,2.2431147537979355,2.4,2.4
2026-05-01,2026-05-01 04:30:00+00:00,PQR,Quick Reserve,upward,0.5,500,1.0,3.79527737215136,4.1,4.1
2026-05-01,2026-05-01 04:30:00+00:00,PSR,Slow Reserve,upward,0.5,1785,2.5,5.84464148786184,3.19,3.19
2026-05-01,2026-05-01 05:00:00+00:00,NBR,Balancing Reserve,downward,0.5,0,0.0,0.09038460643929065,0.0,0.0
2026-05-01,2026-05-01 05:00:00+00:00,NQR,Quick Reserve,downward,0.5,299,7.36,1.8889334087352472,0.0,0.0
2026-05-01,2026-05-01 05:00:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.38131561921930796,0.0,0.0
2026-05-01,2026-05-01 05:00:00+00:00,PBR,Balancing Reserve,upward,0.5,400,1.41,2.743582780403652,4.5,4.5
2026-05-01,2026-05-01 05:00:00+00:00,PQR,Quick Reserve,upward,0.5,500,1.3,3.591422331738575,7.31,7.31
2026-05-01,2026-05-01 05:00:00+00:00,PSR,Slow Reserve,upward,0.5,1790,5.5,5.756325198565997,3.96,3.96
2026-05-01,2026-05-01 05:30:00+00:00,NBR,Balancing Reserve,downward,0.5,2,0.0,0.0844004918181488,0.0,0.0
2026-05-01,2026-05-01 05:30:00+00:00,NQR,Quick Reserve,downward,0.5,300,1.0,1.4914121650611138,0.0,0.0
2026-05-01,2026-05-01 05:30:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.4033573935823025,0.0,0.0
2026-05-01,2026-05-01 05:30:00+00:00,PBR,Balancing Reserve,upward,0.5,400,1.64,3.79454173527416,7.99,7.99
2026-05-01,2026-05-01 05:30:00+00:00,PQR,Quick Reserve,upward,0.5,500,1.37,5.074877436475039,6.64,6.64
2026-05-01,2026-05-01 05:30:00+00:00,PSR,Slow Reserve,upward,0.5,1790,5.5,5.78238257081303,3.96,3.96
2026-05-01,2026-05-01 06:00:00+00:00,DCH,Dynamic Containment,downward,4.0,1176,1.32,0.344919145173769,-0.08,-0.08
2026-05-01,2026-05-01 06:00:00+00:00,DCL,Dynamic Containment,upward,4.0,1121,2.52,4.299931692786012,5.41,5.41
2026-05-01,2026-05-01 06:00:00+00:00,DMH,Dynamic Moderation,downward,4.0,516,-1.81,-1.4067315195489214,-0.31,-0.31
2026-05-01,2026-05-01 06:00:00+00:00,DML,Dynamic Moderation,upward,4.0,500,6.22,8.935456059914216,11.27,11.27
2026-05-01,2026-05-01 06:00:00+00:00,DRH,Dynamic Regulation,downward,4.0,500,-13.25,-6.059443755381925,-1.39,-1.39
2026-05-01,2026-05-01 06:00:00+00:00,DRL,Dynamic Regulation,upward,4.0,480,17.97,17.12836446136695,20.05,20.05
2026-05-01,2026-05-01 06:00:00+00:00,NBR,Balancing Reserve,downward,0.5,2,0.0,0.04835627411776289,0.0,0.0
2026-05-01,2026-05-01 06:00:00+00:00,NQR,Quick Reserve,downward,0.5,300,0.45,0.8094755778543454,0.0,0.0
2026-05-01,2026-05-01 06:00:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.42571954010745183,0.0,0.0
2026-05-01,2026-05-01 06:00:00+00:00,PBR,Balancing Reserve,upward,0.5,600,8.44,5.078151787730723,0.5,0.5
2026-05-01,2026-05-01 06:00:00+00:00,PQR,Quick Reserve,upward,0.5,454,10.75,7.912425570831361,7.98,7.98
2026-05-01,2026-05-01 06:00:00+00:00,PSR,Slow Reserve,upward,0.5,1790,5.5,5.8057167678249515,3.96,3.96
2026-05-01,2026-05-01 06:30:00+00:00,NBR,Balancing Reserve,downward,0.5,2,0.0,0.05538064035558601,0.0,0.0
2026-05-01,2026-05-01 06:30:00+00:00,NQR,Quick Reserve,downward,0.5,344,0.0,0.8968198541814537,0.0,0.0
2026-05-01,2026-05-01 06:30:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.44801943626775215,0.0,0.0
2026-05-01,2026-05-01 06:30:00+00:00,PBR,Balancing Reserve,upward,0.5,600,9.32,4.4103970895897024,0.5,0.5
2026-05-01,2026-05-01 06:30:00+00:00,PQR,Quick Reserve,upward,0.5,357,10.75,8.76356223060451,9.04,9.04
2026-05-01,2026-05-01 06:30:00+00:00,PSR,Slow Reserve,upward,0.5,1790,5.5,5.825928535021421,3.96,3.96
2026-05-01,2026-05-01 07:00:00+00:00,NBR,Balancing Reserve,downward,0.5,4,0.0,0.0580311545369931,0.0,0.0
2026-05-01,2026-05-01 07:00:00+00:00,NQR,Quick Reserve,downward,0.5,350,0.0,0.5475733534004705,0.0,0.0
2026-05-01,2026-05-01 07:00:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.46987552465720145,0.0,0.0
2026-05-01,2026-05-01 07:00:00+00:00,PBR,Balancing Reserve,upward,0.5,600,7.33,4.9558580866638495,0.5,0.5
2026-05-01,2026-05-01 07:00:00+00:00,PQR,Quick Reserve,upward,0.5,500,5.86,12.017582049333107,21.17,21.17
2026-05-01,2026-05-01 07:00:00+00:00,PSR,Slow Reserve,upward,0.5,1790,5.5,5.84267204346195,3.96,3.96
2026-05-01,2026-05-01 07:30:00+00:00,NBR,Balancing Reserve,downward,0.5,4,0.0,0.05193897040788968,0.0,0.0
2026-05-01,2026-05-01 07:30:00+00:00,NQR,Quick Reserve,downward,0.5,350,0.0,0.5392519712943205,0.0,0.0
2026-05-01,2026-05-01 07:30:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.490913841543804,0.0,0.0
