settlement_date,scenario,forecast_selection_objective_gbp,realised_wholesale_margin_gbp,acceptance_calibrated_ancillary_gbp,acceptance_calibrated_total_gbp,stage11_perfect_information_total_gbp,reserve_aware_wholesale_only_gbp,offered_mw_hours,acceptance_calibrated_expected_accepted_mw_hours,price_eligible_offer_pct,mean_predicted_acceptance_pct,contract_rows,mean_reserve_corridor_width_mwh,baseline_forecast_wholesale_value_gbp
2026-05-07 00:00:00,non_bm,4565.101604644252,3600.627281023581,3063.291519220184,6663.918800243765,11316.981034867926,4466.884357124039,600.0,291.46587726973763,100.0,49.08239826345401,28,110.77171835870774,3018.5422229102505
2026-05-07 00:00:00,bm_eligible,4608.052248026003,3658.1062121019295,3235.2732320497685,6893.379444151698,11357.709177140632,4466.884357124039,600.0,300.55863865030057,100.0,54.28545426892979,37,110.77171835870774,3018.5422229102505
2026-05-08 00:00:00,non_bm,4515.4409704142645,1776.707385592169,3060.0482522638417,4836.755637856011,9738.944653491782,1510.0996748031148,596.5,293.8316709876485,100.0,51.01335632895666,28,116.34006836406304,3038.4769431421964
2026-05-08 00:00:00,bm_eligible,4609.111243087871,1821.2345385286987,2773.2281502507503,4594.462688779449,9738.944653491782,1510.0996748031148,600.0,295.0256239749819,97.14285714285714,52.08068426745452,35,116.34006836406304,3038.4769431421964
2026-05-09 00:00:00,non_bm,4261.910742366471,5349.970559336104,2349.7505097988483,7699.721069134952,13536.348985768456,4922.4412946775965,600.0,283.95520952796534,100.0,46.27213236473178,28,109.7139898402086,2722.398506255683
2026-05-09 00:00:00,bm_eligible,4304.907094352256,5349.970559336102,2343.716571045172,7693.687130381273,13537.32398576845,4922.4412946775965,600.0,290.32611477488865,100.0,50.312117493221855,28,109.7139898402086,2722.398506255683
2026-05-10 00:00:00,non_bm,4554.827100116942,5161.777480971417,2586.378651840591,7748.156132812008,17626.84636008847,4181.054098993232,599.0,289.91106757756666,100.0,50.58827816134258,30,108.7003810560088,3114.98324668853
2026-05-10 00:00:00,bm_eligible,4603.0715512294655,5161.7774809714165,2581.506393307689,7743.2838742791055,17628.046360088745,4181.054098993232,599.0,296.92673267367013,100.0,52.34224935717003,30,108.7003810560088,3114.98324668853
2026-05-11 00:00:00,non_bm,5051.023956056419,-2091.576382373083,2872.364722243219,780.788339870136,9392.90790050562,-2168.963993677088,597.0,289.3124812194017,100.0,47.36766900050953,29,110.51548237453484,3423.796805511587
2026-05-11 00:00:00,bm_eligible,5110.831377624686,-1822.414911818912,2876.568709125412,1054.1537973065006,9423.645590199882,-2168.963993677088,597.0,298.54692073373747,100.0,50.61686724814154,31,110.51548237453484,3423.796805511587
2026-05-12 00:00:00,non_bm,4419.835632014551,4744.128906955709,2646.878205691597,7391.007112647306,13265.41160549772,4802.966169086743,600.0,286.75587581076866,100.0,47.56126128853838,28,109.14104231689358,2638.843818165091
2026-05-12 00:00:00,bm_eligible,4550.275846693689,4863.639462511266,2550.944011656925,7414.583474168191,13342.94173924812,4802.966169086743,600.0,293.19964301086776,100.0,49.882372038599,28,109.14104231689358,2638.843818165091
2026-05-13 00:00:00,non_bm,4751.989953688599,2143.937117079175,3002.5412373451995,5146.478354424375,9971.279057911072,2388.268566083402,599.0,294.3374402274555,100.0,49.18597148751962,30,108.79063398625158,2999.017318592497
2026-05-13 00:00:00,bm_eligible,4820.720683668132,2201.7471170791746,3003.2965654481764,5205.043682527351,9971.279057911075,2388.268566083402,599.5,300.75529737353213,100.0,50.90795584715679,30,108.79063398625158,2999.017318592497
2026-05-14 00:00:00,non_bm,4480.970578053318,1458.6756280667282,2705.934535987977,4164.610164054706,10095.17733712568,840.577106246951,598.5,269.6501095665664,100.0,40.95558540691906,30,109.49806110674604,2755.437960211978
2026-05-14 00:00:00,bm_eligible,4560.138801090987,1474.2867391778382,2687.75802339627,4162.044762574108,10095.17733712568,840.577106246951,599.0,287.3516820409708,100.0,48.3680624459429,30,109.49806110674604,2755.437960211978
2026-05-15 00:00:00,non_bm,4391.108651642527,54.55802079218779,2808.8863486213863,2863.4443694135743,7770.84948462389,91.68998646840988,597.5,280.46203147718626,100.0,46.066089517340096,30,113.88510297956356,2859.784453355097
2026-05-15 00:00:00,bm_eligible,4428.240045499276,94.20291202879464,2735.17133353218,2829.3742455609745,7772.509484623891,91.68998646840988,597.0,285.5653771412721,100.0,50.32532428652586,30,113.88510297956356,2859.784453355097
2026-05-16 00:00:00,non_bm,4130.287422600122,-1564.1630525506678,3235.4787870603845,1671.3157345097168,9824.216947068357,-1735.3236174149963,583.0,268.1949245795579,100.0,41.23860341615543,28,118.43254772913794,2670.2172047364006
2026-05-16 00:00:00,bm_eligible,4162.358786128068,-1594.3182144812315,3078.3934886556667,1484.075274174435,9824.216947068357,-1735.3236174149963,595.5,273.71077831051343,100.0,46.61136999379879,31,118.43254772913794,2670.2172047364006
2026-05-17 00:00:00,non_bm,3745.70582335688,899.3196676550901,2775.9228153486706,3675.2424830037608,11203.470443697815,353.69056459767893,574.5,270.1549045720921,100.0,43.46075973629499,27,110.52581932967628,2163.385839604093
2026-05-17 00:00:00,bm_eligible,3800.954471457262,748.2977843678334,2793.008956957244,3541.3067413250774,11220.006443697815,353.69056459767893,599.5,279.023605222937,100.0,48.888606095766015,29,110.52581932967628,2163.385839604093
2026-05-18 00:00:00,non_bm,3824.709142622544,398.6860885753667,4276.832188585426,4675.518277160792,11634.31132376579,184.00261832248492,583.5,292.21067113152714,100.0,54.55651449015715,24,112.87685793804567,2095.499722900456
2026-05-18 00:00:00,bm_eligible,3910.0989939174606,120.18386476853355,3823.093846493451,3943.2777112619847,11634.31132376579,184.00261832248492,598.5,283.21743450350385,100.0,48.40702276289525,29,112.87685793804567,2095.499722900456
