product,family,direction,delivery_start_utc,delivery_end_utc,window_hours,contracted_mw,clearing_price_gbp_per_mw_per_hour,energy_guard_hours,bm_required,raw_forecast_price_gbp_per_mw_per_hour,prior_same_window_price_gbp_per_mw_per_hour,capacity_selection_acceptance_prior,standalone_wholesale_opportunity_cost_gbp,opportunity_cost_bid_gbp_per_mw_per_hour,predicted_acceptance_ratio_at_bid_time,acceptance_lookup_level,acceptance_lookup_orders,opportunity_cost_bid_feasible,realised_clearing_price_gbp_per_mw_per_hour,realised_system_cleared_volume_mw,price_eligible_after_auction,acceptance_calibrated_expected_accepted_mw,acceptance_calibrated_availability_payment_gbp,settlement_date,scenario
PQR,Quick Reserve,upward,2026-05-15 08:30:00+00:00,2026-05-15T09:00:00+00:00,0.5,15.0,1.1058036224764092,1.0,False,4.782995877366531,5.13,0.2311947680551323,0.0,0.0,0.5989761163562776,standalone_parent:product_margin_quantity,1552,True,1.09,507,True,8.984641745344163,4.896629751212569,2026-05-15,non_bm
PQR,Quick Reserve,upward,2026-05-15 09:00:00+00:00,2026-05-15T09:30:00+00:00,0.5,15.0,0.994920683742286,1.0,False,4.303387538186116,5.25,0.2311947680551323,0.0,0.0,0.5989761163562776,standalone_parent:product_margin_quantity,1552,True,1.85,500,True,8.984641745344163,8.310793614443352,2026-05-15,non_bm
PQR,Quick Reserve,upward,2026-05-15 09:30:00+00:00,2026-05-15T10:00:00+00:00,0.5,15.0,0.928397824742128,1.0,False,4.015652397984784,4.99,0.2311947680551323,0.0,0.0,0.411784385725345,standalone_parent:product_margin_quantity,1491,True,1.71,500,True,6.176765785880175,5.281134746927549,2026-05-15,non_bm
DRL,Dynamic Regulation,upward,2026-05-15 10:00:00+00:00,2026-05-15T14:00:00+00:00,4.0,25.0,4.094859281243373,1.0,False,13.887331359279283,14.07,0.294862934807648,0.0,0.0,0.4781843929077178,standalone_parent:product_margin_quantity,466,True,13.03,480,True,11.954609822692944,623.0742639587562,2026-05-15,non_bm
DRL,Dynamic Regulation,upward,2026-05-15 14:00:00+00:00,2026-05-15T18:00:00+00:00,4.0,25.0,4.898825282873397,1.0,False,16.613906681994855,15.28,0.294862934807648,38.18754385464081,0.3818754385464081,0.4781843929077178,standalone_parent:product_margin_quantity,466,True,18.26,480,True,11.954609822692944,873.1647014494928,2026-05-15,non_bm
NQR,Quick Reserve,downward,2026-05-15 18:00:00+00:00,2026-05-15T18:30:00+00:00,0.5,20.0,0.0653894746182057,1.0,False,0.7437873411705781,1.8,0.0879142074605562,0.0,0.0,0.3660242464560623,standalone_parent:product_margin_quantity,268,True,1.0,300,True,7.320484929121246,3.660242464560623,2026-05-15,non_bm
NQR,Quick Reserve,downward,2026-05-15 18:30:00+00:00,2026-05-15T19:00:00+00:00,0.5,25.0,0.0487477612883735,1.0,False,0.5544924159186075,1.0,0.0879142074605562,0.0,0.0,0.3660242464560623,standalone_parent:product_margin_quantity,268,True,1.16,300,True,9.150606161401557,5.307351573612903,2026-05-15,non_bm
NQR,Quick Reserve,downward,2026-05-15 19:00:00+00:00,2026-05-15T19:30:00+00:00,0.5,25.0,0.018370800119048,1.0,False,0.208962813289198,1.0,0.0879142074605562,3.637978807091713e-12,2.9103830456733704e-13,0.4719198038459597,standalone_parent:product_margin_quantity,203,True,0.67,300,True,11.797995096148991,3.952328357209913,2026-05-15,non_bm
NQR,Quick Reserve,downward,2026-05-15 19:30:00+00:00,2026-05-15T20:00:00+00:00,0.5,25.0,0.0144745436597228,1.0,False,0.1646439645857815,1.0,0.0879142074605562,3.637978807091713e-12,2.9103830456733704e-13,0.4719198038459597,standalone_parent:product_margin_quantity,203,True,0.5,300,True,11.797995096148991,2.949498774037248,2026-05-15,non_bm
NQR,Quick Reserve,downward,2026-05-15 20:00:00+00:00,2026-05-15T20:30:00+00:00,0.5,25.0,0.0470629351941482,1.0,False,0.5353279811487073,1.0,0.0879142074605562,3.637978807091713e-12,2.9103830456733704e-13,0.4719198038459597,standalone_parent:product_margin_quantity,203,True,1.0,300,True,11.797995096148991,5.8989975480744965,2026-05-15,non_bm
