settlement_date,settlement_period,wind_share,actual_mw,old_lower_mw,old_upper_mw,new_lower_mw,new_upper_mw
2026-04-21,4,1.0,19.19900264921303,16.19588644803266,27.763860699555167,18.73329377556972,32.66054298593869
2026-04-21,5,1.0,19.04316658874863,16.35891435273399,27.894313541253034,18.885004449049518,32.748361489318526
2026-04-21,6,1.0,20.211937042231572,17.500475512517646,29.104268322606615,19.91983577072689,34.29377344819436
2026-04-21,7,1.0,20.414523920835283,17.26150316567516,29.229682455678514,20.15522918884774,34.41918758126626
2026-04-21,8,1.0,20.35218949664952,17.577616399241442,29.675960176427978,20.357095487892458,34.68863879807333
2026-04-21,9,1.0,20.4612747389746,18.290424167370023,30.860946772497712,20.95434360483331,35.617235389292325
2026-04-21,10,1.0,20.36777310269596,18.82051985193603,32.158212872154955,21.881770849938608,36.45810157406671
2026-04-21,11,1.0,20.18076983013869,18.549266467775087,31.542245576751977,21.45651367197927,36.11977128894995
2026-04-21,12,1.0,20.95995013246065,19.560109049392953,34.32911484109958,23.07750036433039,38.02563872242723
2026-04-21,13,1.0,21.94171731338631,20.26691414571479,35.24075757183164,24.36530149403988,39.2294110702166
2026-04-21,14,1.0,22.44039270687237,20.817291837383568,36.63729987115489,24.196344991212477,40.06758537872686
2026-04-21,15,1.0,21.98846813152563,20.680847071966106,36.30811878968681,24.308149549120532,39.87580401117981
2026-04-21,16,1.0,22.78323203989403,23.38669449532163,40.82336992954724,26.752508417985887,42.220756798167244
2026-04-21,17,1.0,24.79351721988468,26.096922135044707,43.13655184717782,29.02928678566466,44.51496726877622
2026-04-21,18,1.0,28.143992519869098,27.299238394238195,44.91734044987832,30.497136728280672,46.17199935784887
2026-04-21,19,1.0,30.559451457067162,27.78034144970204,45.80549699066265,31.7751448613994,47.54333714463606
2026-04-21,20,1.0,33.73850709054075,31.94947995870286,51.6329073378355,37.23675465633442,53.277405616316564
2026-04-21,21,1.0,34.84494311983793,38.06733757735669,59.16485022361615,42.385080799020606,58.41584304545668
2026-04-21,22,1.0,37.135733208664476,38.69614060959452,59.217739781895695,43.17554107844668,59.149988168420556
2026-04-21,23,1.0,40.73554620539192,42.518331130680046,61.395930435792366,45.5015224275171,61.65006625050521
2026-04-21,24,1.0,43.0730871123578,42.83533179353141,61.566590454713264,45.627946539979256,61.83393540032272
2026-04-21,25,1.0,43.10425432445068,42.20317860843794,61.21049442543165,45.26517227122915,61.44412943248086
2026-04-21,26,1.0,45.1457067165342,42.23763605358259,61.2449518705763,45.2996297163738,61.45451699914055
2026-04-21,27,1.0,45.34829359513792,42.482166711828626,61.316984083787375,45.371661929584874,61.526549212351625
2026-04-21,28,1.0,46.78198535141031,43.40536773752828,61.97015585530783,45.79634167169477,62.071711174860766
2026-04-21,29,1.0,45.20804114071996,43.374570017572836,61.9267953207303,45.920632298730105,62.04091345490532
2026-04-21,30,1.0,46.64173289699236,43.88278115708791,62.37892039320955,46.2402155407882,62.49303852738457
2026-04-21,31,1.0,45.17687392862708,46.29175683707858,63.78539743054892,47.92613923645584,64.00779535369976
2026-04-21,32,1.0,46.143057503506306,44.77674584117325,62.9898122812666,46.82875211913878,62.96258981280355
2026-04-21,33,1.0,45.53529686769518,45.13085152810471,63.489388611451545,47.370065827282,63.40084326686092
2026-04-21,34,1.0,46.28330995792426,44.737177518797836,62.62454395262979,46.55327480351034,62.62250367742212
2026-04-21,35,1.0,45.06778868630201,40.043309674152276,59.74923450947529,44.04927928237195,59.01714550153366
2026-04-21,36,1.0,44.756116565373226,39.88293741691961,59.91710314725407,43.910912320954345,58.82512383362927
2026-04-21,37,1.0,43.77434938444756,39.187526071723674,59.29656813119419,43.39302047535078,58.17329247471367
2026-04-21,38,1.0,40.93813308399563,37.69541347446667,58.98601008461275,42.065414839173684,56.76441561651645
2026-04-21,39,1.0,38.14866760168303,38.17173775499699,59.21413180834409,42.433205654624764,57.59176197409881
2026-04-21,40,1.0,37.49415614773259,38.15529413668745,59.13686286266188,42.271242383246296,57.468455979559565
