settlement_date,market_index_vwap_gbp_per_mwh,system_price_mean_gbp_per_mwh,system_price_max_gbp_per_mwh,market_error_reduction_pct,market_settlement_improvement_gbp,market_restore_import_mwh,market_restore_export_mwh,market_restoration_net_cost_gbp,market_throughput_mwh,market_throughput_cost_gbp,market_net_value_improvement_gbp,arbitrage_gross_margin_gbp,arbitrage_net_margin_gbp,arbitrage_throughput_mwh,coopt_net_value_gbp,coopt_firming_value_gbp,coopt_arbitrage_value_gbp,coopt_throughput_mwh,coopt_error_reduction_pct,reactive_error_reduction_pct,reactive_settlement_improvement_gbp,reactive_restore_import_mwh,reactive_restore_export_mwh,reactive_restoration_net_cost_gbp,reactive_throughput_mwh,reactive_throughput_cost_gbp,reactive_net_value_improvement_gbp
2025-04-22,85.42695573446159,76.39765986946554,129.0,35.42022019310392,-61.133064264116385,0.0,2.464854559192336,-210.5650213200095,8.75690209932981,17.51380419865962,131.91815285723348,4090.812735722742,3351.9238468338535,369.4444444444444,3449.8165081977972,4.710654190558927,4190.565043805238,372.7295948989998,30.968554993762776,100.0,658.653075800971,11.855976080613999,0.0,1012.8199438274474,24.72289006558666,49.44578013117332,-403.61264815764974
2025-04-23,85.17393256128267,80.270102149596,136.9,47.60144859564755,2793.7308505544056,24.96771518026169,0.0,2126.5984889729225,31.611397280649463,63.222794561298926,603.9095670201841,3850.729869373474,3164.6187582623625,343.05555555555554,3611.62964846577,3286.7351672433297,1072.5741998163476,373.83985929695365,54.87956919643613,100.0,5203.279607332713,63.073094534987675,0.0,5372.183500354447,66.40847750070334,132.81695500140668,-301.72084802314055
2025-04-24,77.07665264220084,73.5774021323794,109.5,32.36939056160054,-15.724153227798439,0.0,2.010934697764132,-154.99611518571513,8.219468094559021,16.438936189118042,122.83302576879865,1663.4709489740799,1105.526812743684,278.9720681151979,1223.6486728263642,12.729646006305046,1776.8818736021362,282.98142339103856,30.659392487719572,100.0,-636.5977686880732,0.0,4.788790641031401,-369.1039528149996,25.392718095563055,50.78543619112611,-318.2792520641997
2025-04-25,88.30521701468281,86.02979166666667,117.9,50.647580878436486,181.66655031940354,0.0,0.7071352063548012,-62.44372785588323,13.305396405198323,26.610792810396646,217.49948536489012,5057.987568962495,4267.821210509877,395.08317922630897,4359.713962160447,-84.52121061475005,5208.891838481399,382.3283328531005,36.266747911217536,100.0,-611.1904503819407,0.0,5.747620128608804,-507.54484277475956,26.270546735753726,52.54109347150745,-156.18670107868854
2025-04-26,80.00036865808698,82.64770833333334,113.55,79.37994937100453,-246.9778522136108,0.0,8.22632204135891,-658.1087960088595,24.14770525687526,48.29541051375052,362.83553328149816,3849.4796915833085,3230.4793833692597,309.50015410702434,3516.4184238165176,-425.1106233961598,4585.933365307884,322.2021590476032,72.60787227137175,100.0,-853.6340672896132,0.0,13.421714540843865,-1073.7421112911159,30.42040899272203,60.84081798544406,159.2672260160586
2025-04-27,38.44111718293026,38.64687066140178,105.0,42.29146605993841,305.0616641901616,0.0,18.90296410689011,-726.6510583376875,21.003293452100124,42.00658690420025,989.7061356236488,13974.860047810285,13189.971467135445,392.44429033742006,13502.534257627001,305.89308041666914,13986.505511660956,394.93216722531224,36.90395406875477,100.0,-1809.5725761160584,0.0,44.69687591368799,-1718.1978447089732,49.663195459653245,99.32639091930649,-190.70112232639167
2025-04-28,88.12644323485709,90.63143039758017,204.10638114478115,35.56580318357897,408.36102049089106,0.38915736961593084,0.0,34.29505484288463,8.279162364681106,16.558324729362212,357.50764091864426,7041.627942022442,6249.961275355776,395.83333333333326,6398.365787631742,543.2954688693195,6651.199390343224,398.0645357904007,24.57303528228386,100.0,384.69632602501974,2.59406054137047,0.0,228.60532904686738,23.278434967282454,46.55686993456491,109.53412704358746
2025-04-29,86.28358309590678,94.44172028352648,140.0,33.51108298181621,113.42025736137792,0.0,0.7538844159988992,-65.04784865255017,7.842865556289794,15.685731112579589,162.7823749013485,4652.542469036427,3860.8758023697605,395.83333333333326,3967.9196760287973,-31.5338971024336,4791.120239797898,395.8333333333333,28.832336444972306,100.0,-1165.6000369193305,0.0,11.268470857155778,-972.2840415672044,23.40379617258413,46.80759234516826,-240.12358769729428
2025-04-30,83.05170347329093,83.57759744180389,120.0,39.30625290688774,515.9784965279556,3.64392877456284,0.0,302.63449206278534,13.844053655260263,27.688107310520525,185.65589715464972,4095.162228994446,3151.940314986273,471.6109570040868,3289.4972747553293,356.6548108896825,3876.06437787382,471.6109570040868,34.53961126904985,100.0,-337.88703752596354,1.1891945435211526,0.0,98.76463260057433,35.220995723136795,70.44199144627359,-507.09366157281147
2025-05-01,77.9037260391472,69.82223483867159,117.5,52.89193483336838,-763.5505941021495,0.0,12.912828864961616,-1005.9574822863618,15.102624165334245,30.20524833066849,212.20163985354384,3822.81742596762,3132.9288452927794,344.94429033742006,3293.4536290184305,-510.3808297212535,4495.952892016093,346.05921663820425,36.173553014004426,100.0,-1181.7625929585402,0.0,14.43138419901521,-1124.2586010057587,28.55373737586609,57.10747475173218,-114.61146670451365
