settlement_date,evaluation_segment,perfect_foresight_margin_gbp,forecast_strategy_margin_gbp,naive_strategy_margin_gbp,reserve_aware_forecast_margin_gbp,reserve_corridor_feasible,mean_reserve_corridor_width_mwh
2025-06-06,development_oof,7405.265221710403,3762.732743265229,2782.5875826289434,3718.2874887710364,True,111.17477479717853
2025-06-07,development_oof,2035.4059961796352,1241.7455858093417,-326.8713311589572,1217.662778191987,True,116.6131693906961
2025-06-08,development_oof,11643.69674773171,401.1945862436012,-5114.218235515957,-225.96524563990386,True,106.75487802445589
2025-06-09,development_oof,4377.638254799225,564.765000123087,-5912.185721341819,889.8404335434319,True,116.20611754152027
2025-06-10,development_oof,6503.051244614468,3797.2398541850416,-1214.3734575536891,3082.4837246107336,True,108.63755551430545
2025-06-11,development_oof,1960.7384872981893,619.4269459452042,543.7580982180042,589.8397200714583,True,111.30837935844464
2025-06-12,development_oof,4405.7249999999985,1863.018056427687,3432.40003668172,1826.9612208490007,True,106.72251431219775
2025-06-13,development_oof,10100.374163806799,8640.713528358017,3593.625,7502.433793770186,True,109.85382868313907
2025-06-14,development_oof,14217.144532081737,10137.774090261944,8096.620063509079,7494.251108461787,True,107.32558092232283
2025-06-15,development_oof,7106.7333982200835,6510.7947780858885,5428.830285787637,4893.6429154225,True,107.30689695645697
2025-06-16,development_oof,5962.067327622938,3271.349359442622,707.6953164472449,2977.8847729907734,True,109.5624296593066
2025-06-17,development_oof,5834.831742015715,5051.783461362577,3385.0946542734937,4107.915484227088,True,105.53178100088947
2025-06-18,development_oof,3215.8085387614447,2947.8063225618653,2132.7112943356115,2671.2209616141668,True,113.82722595137834
2025-06-19,development_oof,2433.135139304267,1756.0434009377814,1381.252229238475,1873.7975598844087,True,114.90130512160813
2025-06-20,development_oof,3475.443841602174,1536.161128833156,619.2309313735216,1600.7141726394464,True,113.93225231091522
2025-06-21,development_oof,1918.9228011166383,-1499.3016604212166,-3112.456166509003,-1706.9702640649987,True,109.14225868391775
2025-06-22,development_oof,19240.845312507256,8333.377496450496,8974.667630727856,5033.7368892858485,True,98.84325594584767
2025-06-23,development_oof,9955.539862578424,8487.574263325974,6962.390800380408,6049.698816540537,True,94.08510180403466
2025-06-24,development_oof,11128.40815718396,8533.515864233768,5894.292291545952,6522.815023195788,True,102.5939010344448
2025-06-25,development_oof,6505.833942623172,4443.839076027873,3998.7231406587066,4386.49490048857,True,116.8102877148458
2025-06-26,development_oof,10756.698371980503,7586.594859479867,5433.764160522012,5360.304549989512,True,100.88942739732467
2025-06-27,development_oof,10815.975958828432,6700.183053505734,4444.986231719885,5621.950093262447,True,95.44793789478479
2025-06-28,development_oof,13871.558193923474,12315.458494230597,9996.36050113057,9118.561678849184,True,95.47706923515534
2025-06-29,development_oof,8837.127811152419,-7867.892719015529,-9400.915585888368,-6557.539029086637,True,115.85952436282336
2025-06-30,development_oof,9599.16164265673,6205.140437114887,-2913.5862760061573,5239.837795652977,True,104.97371311920597
2025-07-01,development_oof,12830.63478189638,10275.780162176821,11973.488145381638,9491.044844621423,True,116.68984087854726
2025-07-02,development_oof,1615.9305555555577,-184.43686542387604,-992.0969091006125,-52.31356201566064,True,113.72575245265409
2025-07-03,development_oof,3011.2695791456545,1536.4562906466024,934.4722222222256,984.4754234302472,True,102.78995668302461
2025-07-04,development_oof,14158.122231749781,11944.5507627693,9972.579122786217,7994.734678797785,True,93.23152586889893
2025-07-05,development_oof,9167.449543576882,5638.367653170686,5570.5074936489555,2906.784106807592,True,93.18760609357662
2025-07-06,development_oof,1407.4244574419536,-463.1786381405742,-2279.6226622388913,-133.9161614945382,True,111.07191518399326
2025-07-07,development_oof,10089.720462480735,8532.16653898011,2014.5306462150475,6070.160885973372,True,95.08616650231329
