target_date,settlement_period,valid_time_utc,zone,zone_underlying_demand_mw,zone_demand_share,national_demand_mw,national_embedded_wind_solar_mw,national_underlying_demand_proxy_mw,annual_consumption_gwh,annual_consumption_share,zone_daily_profile_share,profile_observations,publish_time_utc
2026-09-03T00:00:00,30,2026-09-03T13:30:00+0000,Bristol,2093.3344787360907,0.06200172447273018,23383,10379.520261138678,33762.52026113868,16781.7630635,0.06812107825024062,0.017754492743333804,66,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,30,2026-09-03T13:30:00+0000,Cardiff,1833.7330858115263,0.05431268375785883,23383,10379.520261138678,33762.52026113868,18729.45612165,0.07602721723692794,0.013935359660474685,44,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,30,2026-09-03T13:30:00+0000,Edinburgh,2437.7251239593616,0.0722021076952964,23383,10379.520261138678,33762.52026113868,16937.6618156,0.0687539075334771,0.02048511957056935,40,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,30,2026-09-03T13:30:00+0000,Inverness,364.2180663694162,0.010787644510905732,23383,10379.520261138678,33762.52026113868,4393.9896549000005,0.01783622566827993,0.011798035035523631,18,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,30,2026-09-03T13:30:00+0000,Leeds,3574.992754258944,0.10588643047402568,23383,10379.520261138678,33762.52026113868,23703.4700297,0.09621789621183369,0.02146695592799979,66,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,30,2026-09-03T13:30:00+0000,London,11258.796658533543,0.3334702673690103,23383,10379.520261138678,33762.52026113868,79800.8774024,0.32393031610547557,0.0200812866902458,110,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,30,2026-09-03T13:30:00+0000,Manchester,4810.40464632026,0.1424776530043917,23383,10379.520261138678,33762.52026113868,31337.7470771,0.12720720181471523,0.021848471849611924,110,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,30,2026-09-03T13:30:00+0000,Newcastle,1868.9393560467736,0.05535544567145242,23383,10379.520261138678,33762.52026113868,12293.212011,0.0499010058823626,0.021638993931125568,44,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,30,2026-09-03T13:30:00+0000,Norwich,1209.3437226443061,0.03581911875329652,23383,10379.520261138678,33762.52026113868,10025.7933104,0.0406970261726516,0.017168732529641687,44,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,31,2026-09-03T14:00:00+0000,Birmingham,4102.179415682058,0.1275173390192175,22950,9219.581385821104,32169.581385821104,32348.0176877,0.13130812512403575,0.01906080222156526,66,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,31,2026-09-03T14:00:00+0000,Bristol,2019.7657920984275,0.06278495725122021,22950,9219.581385821104,32169.581385821104,16781.7630635,0.06812107825024062,0.01808996069557104,66,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,31,2026-09-03T14:00:00+0000,Cardiff,1809.9979545301512,0.056264268186216326,22950,9219.581385821104,32169.581385821104,18729.45612165,0.07602721723692794,0.01452536698735687,44,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,31,2026-09-03T14:00:00+0000,Edinburgh,2277.15789010831,0.07078605912826637,22950,9219.581385821104,32169.581385821104,16937.6618156,0.0687539075334771,0.020207560267278078,40,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,31,2026-09-03T14:00:00+0000,Inverness,330.78856526460817,0.01028265059769801,22950,9219.581385821104,32169.581385821104,4393.9896549000005,0.01783622566827993,0.011315289094492895,18,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,31,2026-09-03T14:00:00+0000,Leeds,3417.984218661618,0.10624894920665989,22950,9219.581385821104,32169.581385821104,23703.4700297,0.09621789621183369,0.02167366321550131,66,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,31,2026-09-03T14:00:00+0000,London,10743.538529110347,0.33396575479983126,22950,9219.581385821104,32169.581385821104,79800.8774024,0.32393031610547557,0.02023549698624533,110,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,31,2026-09-03T14:00:00+0000,Manchester,4515.241896265671,0.14035749617356805,22950,9219.581385821104,32169.581385821104,31337.7470771,0.12720720181471523,0.021656458955664412,110,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,31,2026-09-03T14:00:00+0000,Newcastle,1779.7701649390674,0.05532462930100513,22950,9219.581385821104,32169.581385821104,12293.212011,0.0499010058823626,0.02176069423128565,44,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,31,2026-09-03T14:00:00+0000,Norwich,1173.156959160844,0.03646789633631722,22950,9219.581385821104,32169.581385821104,10025.7933104,0.0406970261726516,0.017587802092503248,44,2026-09-02T11:48:00+0000
2026-09-03T00:00:00,32,2026-09-03T14:30:00+0000,Birmingham,4188.0580291320275,0.1289552243969147,23840,8636.838753283024,32476.838753283024,32348.0176877,0.13130812512403575,0.02003457945499919,66,2026-09-02T11:48:00+0000
