product,margin_bin,quantity_bin,orders,accepted_fraction_sum,sample_class,source_month
PBR,>5,1:5,9,0.0,standalone_parent,202604
PBR,>5,5:10,206,29.0,standalone_parent,202604
PQR,-0.5:0,0:1,178,94.0,standalone_parent,202604
PQR,-0.5:0,10:25,702,171.0,standalone_parent,202604
PQR,-0.5:0,1:5,247,93.0,standalone_parent,202604
PQR,-0.5:0,5:10,469,135.0,standalone_parent,202604
PQR,-0.5:0,>25,248,129.0,standalone_parent,202604
PQR,-10:-5,0:1,566,550.0,standalone_parent,202604
PQR,-10:-5,10:25,1552,948.0,standalone_parent,202604
PQR,-10:-5,1:5,645,553.0,standalone_parent,202604
PQR,-10:-5,5:10,892,552.0,standalone_parent,202604
PQR,-10:-5,>25,224,127.0,standalone_parent,202604
PQR,-1:-0.5,0:1,370,291.0,standalone_parent,202604
PQR,-1:-0.5,10:25,466,94.0,standalone_parent,202604
PQR,-1:-0.5,1:5,340,214.0,standalone_parent,202604
PQR,-1:-0.5,5:10,414,104.0,standalone_parent,202604
PQR,-1:-0.5,>25,108,37.0,standalone_parent,202604
PQR,-2:-1,0:1,229,176.0,standalone_parent,202604
PQR,-2:-1,10:25,600,277.0,standalone_parent,202604
PQR,-2:-1,1:5,319,200.0,standalone_parent,202604
PQR,-2:-1,5:10,553,215.0,standalone_parent,202604
PQR,-2:-1,>25,222,113.0,standalone_parent,202604
PQR,-5:-2,0:1,465,382.0,standalone_parent,202604
PQR,-5:-2,10:25,1491,623.0,standalone_parent,202604
PQR,-5:-2,1:5,634,429.0,standalone_parent,202604
PQR,-5:-2,5:10,1153,539.0,standalone_parent,202604
PQR,-5:-2,>25,335,144.0,standalone_parent,202604
PQR,0.5:1,0:1,5,2.0,standalone_parent,202604
PQR,0.5:1,10:25,904,94.0,standalone_parent,202604
PQR,0.5:1,1:5,227,22.0,standalone_parent,202604
PQR,0.5:1,5:10,590,77.0,standalone_parent,202604
PQR,0.5:1,>25,253,67.0,standalone_parent,202604
PQR,0:0.5,0:1,467,189.0,standalone_parent,202604
PQR,0:0.5,10:25,728,106.0,standalone_parent,202604
PQR,0:0.5,1:5,481,151.0,standalone_parent,202604
PQR,0:0.5,5:10,729,124.0,standalone_parent,202604
PQR,0:0.5,>25,150,52.0,standalone_parent,202604
PQR,1:2,0:1,9,3.0,standalone_parent,202604
PQR,1:2,10:25,770,38.0,standalone_parent,202604
PQR,1:2,1:5,216,28.0,standalone_parent,202604
PQR,1:2,5:10,785,99.0,standalone_parent,202604
PQR,1:2,>25,298,46.0,standalone_parent,202604
PQR,2:5,0:1,36,5.0,standalone_parent,202604
PQR,2:5,10:25,1471,66.0,standalone_parent,202604
PQR,2:5,1:5,625,23.0,standalone_parent,202604
PQR,2:5,5:10,1547,117.0,standalone_parent,202604
PQR,2:5,>25,854,4.0,standalone_parent,202604
PQR,<-10,0:1,359,357.0,standalone_parent,202604
PQR,<-10,10:25,816,496.0,standalone_parent,202604
PQR,<-10,1:5,287,249.0,standalone_parent,202604
PQR,<-10,5:10,270,131.0,standalone_parent,202604
PQR,<-10,>25,77,49.0,standalone_parent,202604
PQR,>5,0:1,134,2.0,standalone_parent,202604
PQR,>5,10:25,6420,49.0,standalone_parent,202604
PQR,>5,1:5,2443,2.0,standalone_parent,202604
PQR,>5,5:10,4771,20.0,standalone_parent,202604
PQR,>5,>25,2517,5.0,standalone_parent,202604
PSR,-0.5:0,10:25,4616,2581.0,standalone_parent,202604
PSR,-0.5:0,1:5,221,156.0,standalone_parent,202604
PSR,-0.5:0,5:10,679,332.0,standalone_parent,202604
PSR,-0.5:0,>25,989,551.0,standalone_parent,202604
PSR,-10:-5,0:1,27,24.0,standalone_parent,202604
PSR,-10:-5,10:25,19955,10812.0,standalone_parent,202604
PSR,-10:-5,1:5,609,464.0,standalone_parent,202604
PSR,-10:-5,5:10,1337,733.0,standalone_parent,202604
PSR,-10:-5,>25,5295,4236.0,standalone_parent,202604
PSR,-1:-0.5,0:1,15,15.0,standalone_parent,202604
PSR,-1:-0.5,10:25,5151,3427.0,standalone_parent,202604
PSR,-1:-0.5,1:5,224,163.0,standalone_parent,202604
PSR,-1:-0.5,5:10,654,326.0,standalone_parent,202604
PSR,-1:-0.5,>25,682,493.0,standalone_parent,202604
PSR,-2:-1,0:1,13,13.0,standalone_parent,202604
PSR,-2:-1,10:25,11247,7332.0,standalone_parent,202604
PSR,-2:-1,1:5,652,573.0,standalone_parent,202604
PSR,-2:-1,5:10,1775,984.0,standalone_parent,202604
PSR,-2:-1,>25,2044,1549.0,standalone_parent,202604
PSR,-5:-2,0:1,57,52.0,standalone_parent,202604
PSR,-5:-2,10:25,40443,22461.0,standalone_parent,202604
PSR,-5:-2,1:5,1463,1251.0,standalone_parent,202604
PSR,-5:-2,5:10,3995,2418.0,standalone_parent,202604
PSR,-5:-2,>25,9951,7790.0,standalone_parent,202604
PSR,0.5:1,10:25,2643,823.0,standalone_parent,202604
PSR,0.5:1,1:5,57,23.0,standalone_parent,202604
PSR,0.5:1,5:10,358,87.0,standalone_parent,202604
PSR,0.5:1,>25,659,258.0,standalone_parent,202604
PSR,0:0.5,0:1,5,4.0,standalone_parent,202604
PSR,0:0.5,10:25,3659,1533.0,standalone_parent,202604
PSR,0:0.5,1:5,119,76.0,standalone_parent,202604
PSR,0:0.5,5:10,508,180.0,standalone_parent,202604
PSR,0:0.5,>25,592,377.0,standalone_parent,202604
PSR,1:2,0:1,37,31.0,standalone_parent,202604
PSR,1:2,10:25,2771,734.0,standalone_parent,202604
PSR,1:2,1:5,72,39.0,standalone_parent,202604
PSR,1:2,5:10,324,56.0,standalone_parent,202604
PSR,1:2,>25,918,201.0,standalone_parent,202604
PSR,2:5,0:1,1,0.0,standalone_parent,202604
PSR,2:5,10:25,3399,431.0,standalone_parent,202604
PSR,2:5,1:5,143,47.0,standalone_parent,202604
PSR,2:5,5:10,384,53.0,standalone_parent,202604
PSR,2:5,>25,2255,168.0,standalone_parent,202604
PSR,<-10,10:25,1325,833.0,standalone_parent,202604
PSR,<-10,1:5,56,48.0,standalone_parent,202604
PSR,<-10,5:10,72,43.0,standalone_parent,202604
PSR,<-10,>25,399,322.0,standalone_parent,202604
PSR,>5,0:1,9,0.0,standalone_parent,202604
PSR,>5,10:25,2758,29.0,standalone_parent,202604
PSR,>5,1:5,417,16.0,standalone_parent,202604
PSR,>5,5:10,983,22.0,standalone_parent,202604
PSR,>5,>25,1716,4.0,standalone_parent,202604
DCH,-0.5:0,0:1,26,4.0,nonlooped_parent,202604
DCH,-0.5:0,10:25,422,171.0,nonlooped_parent,202604
DCH,-0.5:0,1:5,149,91.0,nonlooped_parent,202604
DCH,-0.5:0,5:10,118,58.0,nonlooped_parent,202604
DCH,-0.5:0,>25,516,199.0,nonlooped_parent,202604
DCH,-10:-5,0:1,9,2.0,nonlooped_parent,202604
DCH,-10:-5,10:25,156,99.0,nonlooped_parent,202604
DCH,-10:-5,1:5,43,29.0,nonlooped_parent,202604
DCH,-10:-5,5:10,39,23.0,nonlooped_parent,202604
DCH,-10:-5,>25,178,98.0,nonlooped_parent,202604
DCH,-1:-0.5,0:1,23,4.0,nonlooped_parent,202604
DCH,-1:-0.5,10:25,445,227.0,nonlooped_parent,202604
DCH,-1:-0.5,1:5,132,84.0,nonlooped_parent,202604
DCH,-1:-0.5,5:10,114,70.0,nonlooped_parent,202604
DCH,-1:-0.5,>25,458,210.0,nonlooped_parent,202604
DCH,-2:-1,0:1,28,6.0,nonlooped_parent,202604
DCH,-2:-1,10:25,454,242.0,nonlooped_parent,202604
DCH,-2:-1,1:5,188,111.0,nonlooped_parent,202604
DCH,-2:-1,5:10,139,85.0,nonlooped_parent,202604
DCH,-2:-1,>25,539,272.0,nonlooped_parent,202604
DCH,-5:-2,0:1,33,6.0,nonlooped_parent,202604
DCH,-5:-2,10:25,528,333.0,nonlooped_parent,202604
DCH,-5:-2,1:5,193,127.0,nonlooped_parent,202604
DCH,-5:-2,5:10,173,113.0,nonlooped_parent,202604
DCH,-5:-2,>25,569,317.0,nonlooped_parent,202604
DCH,0.5:1,0:1,40,6.0,nonlooped_parent,202604
DCH,0.5:1,10:25,496,193.0,nonlooped_parent,202604
DCH,0.5:1,1:5,132,54.0,nonlooped_parent,202604
DCH,0.5:1,5:10,156,58.0,nonlooped_parent,202604
DCH,0.5:1,>25,605,210.0,nonlooped_parent,202604
DCH,0:0.5,0:1,38,10.0,nonlooped_parent,202604
DCH,0:0.5,10:25,562,290.0,nonlooped_parent,202604
DCH,0:0.5,1:5,157,90.0,nonlooped_parent,202604
DCH,0:0.5,5:10,144,63.0,nonlooped_parent,202604
DCH,0:0.5,>25,646,297.0,nonlooped_parent,202604
DCH,1:2,0:1,107,12.0,nonlooped_parent,202604
DCH,1:2,10:25,918,338.0,nonlooped_parent,202604
DCH,1:2,1:5,229,69.0,nonlooped_parent,202604
DCH,1:2,5:10,275,93.0,nonlooped_parent,202604
DCH,1:2,>25,944,250.0,nonlooped_parent,202604
DCH,2:5,0:1,422,31.0,nonlooped_parent,202604
DCH,2:5,10:25,1078,229.0,nonlooped_parent,202604
DCH,2:5,1:5,492,141.0,nonlooped_parent,202604
DCH,2:5,5:10,447,165.0,nonlooped_parent,202604
DCH,2:5,>25,952,101.0,nonlooped_parent,202604
DCH,<-10,10:25,1,0.0,nonlooped_parent,202604
DCH,>5,0:1,392,1.0,nonlooped_parent,202604
DCH,>5,10:25,781,69.0,nonlooped_parent,202604
DCH,>5,1:5,208,47.0,nonlooped_parent,202604
DCH,>5,5:10,256,49.0,nonlooped_parent,202604
DCH,>5,>25,316,15.0,nonlooped_parent,202604
DCL,-0.5:0,0:1,28,15.0,nonlooped_parent,202604
DCL,-0.5:0,10:25,569,240.0,nonlooped_parent,202604
DCL,-0.5:0,1:5,41,33.0,nonlooped_parent,202604
DCL,-0.5:0,5:10,131,59.0,nonlooped_parent,202604
DCL,-0.5:0,>25,647,291.0,nonlooped_parent,202604
DCL,-10:-5,0:1,12,9.0,nonlooped_parent,202604
DCL,-10:-5,10:25,466,115.0,nonlooped_parent,202604
DCL,-10:-5,1:5,65,42.0,nonlooped_parent,202604
DCL,-10:-5,5:10,146,47.0,nonlooped_parent,202604
DCL,-10:-5,>25,671,181.0,nonlooped_parent,202604
DCL,-1:-0.5,0:1,30,22.0,nonlooped_parent,202604
DCL,-1:-0.5,10:25,530,237.0,nonlooped_parent,202604
DCL,-1:-0.5,1:5,75,71.0,nonlooped_parent,202604
DCL,-1:-0.5,5:10,135,64.0,nonlooped_parent,202604
DCL,-1:-0.5,>25,646,293.0,nonlooped_parent,202604
DCL,-2:-1,0:1,43,31.0,nonlooped_parent,202604
DCL,-2:-1,10:25,874,376.0,nonlooped_parent,202604
DCL,-2:-1,1:5,131,116.0,nonlooped_parent,202604
DCL,-2:-1,5:10,218,130.0,nonlooped_parent,202604
DCL,-2:-1,>25,1045,507.0,nonlooped_parent,202604
DCL,-5:-2,0:1,52,46.0,nonlooped_parent,202604
DCL,-5:-2,10:25,1237,493.0,nonlooped_parent,202604
DCL,-5:-2,1:5,203,173.0,nonlooped_parent,202604
DCL,-5:-2,5:10,302,190.0,nonlooped_parent,202604
DCL,-5:-2,>25,1541,533.0,nonlooped_parent,202604
DCL,0.5:1,0:1,21,9.0,nonlooped_parent,202604
DCL,0.5:1,10:25,353,112.0,nonlooped_parent,202604
DCL,0.5:1,1:5,16,4.0,nonlooped_parent,202604
DCL,0.5:1,5:10,85,13.0,nonlooped_parent,202604
DCL,0.5:1,>25,334,116.0,nonlooped_parent,202604
DCL,0:0.5,0:1,24,11.0,nonlooped_parent,202604
DCL,0:0.5,10:25,450,192.0,nonlooped_parent,202604
DCL,0:0.5,1:5,34,27.0,nonlooped_parent,202604
DCL,0:0.5,5:10,115,34.0,nonlooped_parent,202604
DCL,0:0.5,>25,500,181.0,nonlooped_parent,202604
DCL,1:2,0:1,9,5.0,nonlooped_parent,202604
DCL,1:2,10:25,292,54.0,nonlooped_parent,202604
DCL,1:2,1:5,29,9.0,nonlooped_parent,202604
DCL,1:2,5:10,108,7.0,nonlooped_parent,202604
DCL,1:2,>25,267,51.0,nonlooped_parent,202604
DCL,2:5,0:1,8,0.0,nonlooped_parent,202604
DCL,2:5,10:25,234,17.0,nonlooped_parent,202604
DCL,2:5,1:5,10,0.0,nonlooped_parent,202604
DCL,2:5,5:10,50,4.0,nonlooped_parent,202604
DCL,2:5,>25,164,20.0,nonlooped_parent,202604
DCL,<-10,10:25,93,15.0,nonlooped_parent,202604
DCL,<-10,1:5,7,2.0,nonlooped_parent,202604
DCL,<-10,5:10,14,7.0,nonlooped_parent,202604
DCL,<-10,>25,65,17.0,nonlooped_parent,202604
DCL,>5,0:1,364,0.0,nonlooped_parent,202604
DCL,>5,10:25,451,0.0,nonlooped_parent,202604
DCL,>5,1:5,17,1.0,nonlooped_parent,202604
DCL,>5,5:10,52,0.0,nonlooped_parent,202604
DCL,>5,>25,222,0.0,nonlooped_parent,202604
DMH,-0.5:0,10:25,145,34.0,nonlooped_parent,202604
DMH,-0.5:0,1:5,13,5.0,nonlooped_parent,202604
DMH,-0.5:0,5:10,11,4.0,nonlooped_parent,202604
DMH,-0.5:0,>25,208,66.0,nonlooped_parent,202604
DMH,-10:-5,10:25,92,34.0,nonlooped_parent,202604
DMH,-10:-5,1:5,10,2.0,nonlooped_parent,202604
