settlement_date,settlement_period,valid_time_utc,evaluation_segment,fold,wind_cf,solar_cf,wind_pred_cf,solar_pred_cf,wind_actual_mw,wind_forecast_mw,solar_actual_mw,solar_forecast_mw,embedded_wind_capacity_mw,embedded_solar_capacity_mw
2025-10-22T00:00:00,7,2025-10-22T02:00:00+0000,development_oof,3.0,0.3104753254617015,0.0,0.25176203250885,0.000253738311585,2051.0,1663.1399867534635,0.0,5.490643324388657,6606,21639
2025-10-22T00:00:00,8,2025-10-22T02:30:00+0000,development_oof,3.0,0.2953375719043294,0.0,0.2609829902648926,0.000253738311585,1951.0,1724.0536336898804,0.0,5.490643324388657,6606,21639
2025-10-22T00:00:00,9,2025-10-22T03:00:00+0000,development_oof,3.0,0.288525582803512,0.0,0.2630579471588135,0.0002172093954868,1906.0,1737.7607989311218,0.0,4.700194108940195,6606,21639
2025-10-22T00:00:00,10,2025-10-22T03:30:00+0000,development_oof,3.0,0.2817135937026945,0.0,0.2445946633815765,0.0002171566884499,1861.0,1615.7923462986946,0.0,4.69905358136748,6606,21639
2025-10-22T00:00:00,11,2025-10-22T04:00:00+0000,development_oof,3.0,0.2709657886769603,0.0,0.2340564727783203,0.0002599239815026,1789.9999999999998,1546.177059173584,0.0,5.62449503573589,6606,21639
2025-10-22T00:00:00,12,2025-10-22T04:30:00+0000,development_oof,3.0,0.2602179836512261,0.0,0.2257203012704849,0.0002536856336519,1718.9999999999998,1491.1083101928234,0.0,5.489503426593728,6606,21639
2025-10-22T00:00:00,13,2025-10-22T05:00:00+0000,development_oof,3.0,0.2455343627005752,0.0,0.2109224498271942,0.0002590239164419,1621.9999999999998,1393.353703558445,0.0,5.605018527887296,6606,21639
2025-10-22T00:00:00,14,2025-10-22T05:30:00+0000,development_oof,3.0,0.2308507417499243,0.0,0.2054819464683532,0.0002590239164419,1524.9999999999998,1357.4137383699417,0.0,5.605018527887296,6606,21639
2025-10-22T00:00:00,15,2025-10-22T06:00:00+0000,development_oof,3.0,0.214199212836815,0.0,0.1966121792793274,0.0011548362672328,1415.0,1298.8200563192368,0.0,24.989501986652613,6606,21639
2025-10-22T00:00:00,16,2025-10-22T06:30:00+0000,development_oof,3.0,0.197396306388132,0.0,0.2034951597452163,0.0017813623417168,1304.0,1344.289025276899,0.0,38.54689971241169,6606,21639
2025-10-22T00:00:00,17,2025-10-22T07:00:00+0000,development_oof,3.0,0.1871026339691189,0.0112297241092471,0.2112088203430175,0.0139936720952391,1235.999999999999,1395.245467185974,242.999999999998,302.80907046888024,6606,21639
2025-10-22T00:00:00,18,2025-10-22T07:30:00+0000,development_oof,3.0,0.1766575840145322,0.0492629049401543,0.2051025032997131,0.0577702708542346,1166.9999999999995,1354.907136797905,1065.9999999999989,1250.0908910147846,6606,21639
2025-10-22T00:00:00,19,2025-10-22T08:00:00+0000,development_oof,3.0,0.158340902210112,0.0902074957253107,0.2031238824129104,0.117126815021038,1045.9999999999998,1341.8363672196865,1951.9999999999984,2534.5071502402425,6606,21639
2025-10-22T00:00:00,20,2025-10-22T08:30:00+0000,development_oof,3.0,0.139872842870118,0.1312907250797171,0.1808468848466873,0.1919653415679931,923.9999999999995,1194.6745212972164,2840.999999999998,4153.938026189804,6606,21639
2025-10-22T00:00:00,21,2025-10-22T09:00:00+0000,development_oof,3.0,0.1283681501665153,0.1795831600351217,0.1542131900787353,0.2298868745565414,848.0,1018.7323336601256,3885.999999999999,4974.522078529,6606,21639
2025-10-22T00:00:00,22,2025-10-22T09:30:00+0000,development_oof,3.0,0.1167120799273387,0.2344378206016913,0.1516947597265243,0.2732737958431244,770.9999999999994,1002.09558275342,5072.999999999998,5913.371668249369,6606,21639
2025-10-22T00:00:00,23,2025-10-22T10:00:00+0000,development_oof,3.0,0.1120193763245534,0.2814362955774296,0.1503736674785614,0.296120285987854,739.9999999999998,993.3684473633766,6089.999999999999,6407.746868491173,6606,21639
2025-10-22T00:00:00,24,2025-10-22T10:30:00+0000,development_oof,3.0,0.107326672721768,0.3155413836129211,0.1627836376428604,0.309126079082489,708.9999999999994,1075.348710268736,6828.0,6689.17922526598,6606,21639
2025-10-22T00:00:00,25,2025-10-22T11:00:00+0000,development_oof,3.0,0.1053587647593097,0.3356901890105827,0.1624755561351776,0.2971972823143005,695.9999999999999,1073.3135238289833,7263.999999999998,6431.051991999149,6606,21639
2025-10-22T00:00:00,26,2025-10-22T11:30:00+0000,development_oof,3.0,0.1033908567968513,0.3424834789038311,0.1542136371135712,0.2957734763622284,682.9999999999997,1018.7352867722512,7411.000000000001,6400.24225500226,6606,21639
2025-10-22T00:00:00,27,2025-10-22T12:00:00+0000,development_oof,3.0,0.0953678474114441,0.3262627663015851,0.1586903631687164,0.2958551943302154,629.9999999999998,1048.3085390925407,7060.000000000001,6402.010550111532,6606,21639
2025-10-22T00:00:00,28,2025-10-22T12:30:00+0000,development_oof,3.0,0.0871934604904632,0.2822681269929294,0.1619560420513153,0.2894847691059112,575.9999999999999,1069.881613790989,6108.0,6264.160918682814,6606,21639
2025-10-22T00:00:00,29,2025-10-22T13:00:00+0000,development_oof,3.0,0.0811383590675143,0.2121632238088636,0.1526380777359008,0.2696838974952698,535.9999999999995,1008.3271415233612,4590.999999999999,5835.689857900143,6606,21639
2025-10-22T00:00:00,30,2025-10-22T13:30:00+0000,development_oof,3.0,0.0749318801089918,0.166412495956375,0.1497842520475387,0.235009416937828,494.9999999999998,989.474769026041,3600.999999999998,5085.3687731176615,6606,21639
2025-10-22T00:00:00,31,2025-10-22T14:00:00+0000,development_oof,3.0,0.070996064184075,0.1407181477887148,0.132872387766838,0.1961766481399536,468.9999999999995,877.7549935877323,3044.9999999999995,4245.066489100456,6606,21639
2025-10-22T00:00:00,32,2025-10-22T14:30:00+0000,development_oof,3.0,0.0670602482591583,0.0901150700124774,0.1077482178807258,0.1689943075180053,442.9999999999997,711.784727320075,1949.9999999999984,3656.867820382118,6606,21639
