auction_id,product,family,direction,delivery_start_utc,delivery_end_utc,window_hours,cleared_volume_mw,clearing_price_gbp_per_mw_per_hour,minimum_mw,whole_mw,bm_required,response_seconds,energy_guard_hours
1112,NQR,Quick Reserve,downward,2025-04-01 13:30:00+00:00,2025-04-01 14:00:00+00:00,0.5,248,21.09,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 13:30:00+00:00,2025-04-01 14:00:00+00:00,0.5,356,5.13,1,True,False,60.0,1.0
1112,DCH,Dynamic Containment,downward,2025-04-01 14:00:00+00:00,2025-04-01 18:00:00+00:00,4.0,1300,6.76,1,True,False,1.0,0.25
1112,DCL,Dynamic Containment,upward,2025-04-01 14:00:00+00:00,2025-04-01 18:00:00+00:00,4.0,1311,6.59,1,True,False,1.0,0.25
1112,DMH,Dynamic Moderation,downward,2025-04-01 14:00:00+00:00,2025-04-01 18:00:00+00:00,4.0,209,8.03,1,True,False,1.0,0.5
1112,DML,Dynamic Moderation,upward,2025-04-01 14:00:00+00:00,2025-04-01 18:00:00+00:00,4.0,201,9.95,1,True,False,1.0,0.5
1112,DRH,Dynamic Regulation,downward,2025-04-01 14:00:00+00:00,2025-04-01 18:00:00+00:00,4.0,480,4.53,1,True,False,10.0,1.0
1112,DRL,Dynamic Regulation,upward,2025-04-01 14:00:00+00:00,2025-04-01 18:00:00+00:00,4.0,382,12.75,1,True,False,10.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 14:00:00+00:00,2025-04-01 14:30:00+00:00,0.5,65,13.87,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 14:00:00+00:00,2025-04-01 14:30:00+00:00,0.5,464,3.94,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 14:30:00+00:00,2025-04-01 15:00:00+00:00,0.5,90,12.27,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 14:30:00+00:00,2025-04-01 15:00:00+00:00,0.5,420,5.91,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 15:00:00+00:00,2025-04-01 15:30:00+00:00,0.5,55,5.06,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 15:00:00+00:00,2025-04-01 15:30:00+00:00,0.5,446,5.91,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 15:30:00+00:00,2025-04-01 16:00:00+00:00,0.5,55,5.06,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 15:30:00+00:00,2025-04-01 16:00:00+00:00,0.5,446,5.91,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 16:00:00+00:00,2025-04-01 16:30:00+00:00,0.5,56,5.06,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 16:00:00+00:00,2025-04-01 16:30:00+00:00,0.5,440,9.07,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 16:30:00+00:00,2025-04-01 17:00:00+00:00,0.5,59,5.06,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 16:30:00+00:00,2025-04-01 17:00:00+00:00,0.5,400,20.26,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 17:00:00+00:00,2025-04-01 17:30:00+00:00,0.5,170,3.38,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 17:00:00+00:00,2025-04-01 17:30:00+00:00,0.5,181,11.58,1,True,False,60.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 17:30:00+00:00,2025-04-01 18:00:00+00:00,0.5,300,1.0,1,True,False,60.0,1.0
1112,PQR,Quick Reserve,upward,2025-04-01 17:30:00+00:00,2025-04-01 18:00:00+00:00,0.5,142,29.25,1,True,False,60.0,1.0
1112,DCH,Dynamic Containment,downward,2025-04-01 18:00:00+00:00,2025-04-01 22:00:00+00:00,4.0,1201,0.96,1,True,False,1.0,0.25
1112,DCL,Dynamic Containment,upward,2025-04-01 18:00:00+00:00,2025-04-01 22:00:00+00:00,4.0,1226,5.98,1,True,False,1.0,0.25
1112,DMH,Dynamic Moderation,downward,2025-04-01 18:00:00+00:00,2025-04-01 22:00:00+00:00,4.0,300,0.47,1,True,False,1.0,0.5
1112,DML,Dynamic Moderation,upward,2025-04-01 18:00:00+00:00,2025-04-01 22:00:00+00:00,4.0,117,10.19,1,True,False,1.0,0.5
1112,DRH,Dynamic Regulation,downward,2025-04-01 18:00:00+00:00,2025-04-01 22:00:00+00:00,4.0,500,-5.92,1,True,False,10.0,1.0
1112,DRL,Dynamic Regulation,upward,2025-04-01 18:00:00+00:00,2025-04-01 22:00:00+00:00,4.0,396,14.0,1,True,False,10.0,1.0
1112,NQR,Quick Reserve,downward,2025-04-01 18:00:00+00:00,2025-04-01 18:30:00+00:00,0.5,213,3.63,1,True,False,60.0,1.0
