settlement_date,settlement_period,valid_time_utc,embedded_wind_generation_mw,embedded_wind_capacity_mw,embedded_solar_generation_mw,embedded_solar_capacity_mw,wind_cf,solar_cf,wind_pred_cf,wind_pred_mw,solar_pred_cf,solar_pred_mw,wind_error_mw,solar_error_mw
2025-06-01,30,2025-06-01 13:30:00+00:00,3849,6606,8523,20681,0.5826521344232516,0.4121174024466902,0.62628835,4137.260869145393,0.4254354507615768,8798.43055720017,288.2608691453934,275.43055720017037
2025-06-01,31,2025-06-01 14:00:00+00:00,3868,6606,7666,20681,0.5855283075991523,0.3706784004641942,0.59828156,3952.248000741005,0.4087448170843967,8453.251562122408,84.24800074100494,787.2515621224084
2025-06-01,32,2025-06-01 14:30:00+00:00,3886,6606,7233,20681,0.5882531032394792,0.3497413084473671,0.58819836,3885.638391137123,0.3733179263870728,7720.588035611052,-0.3616088628768921,487.58803561105196
2025-06-01,33,2025-06-01 15:00:00+00:00,3763,6606,6874,20681,0.5696336663639116,0.3323823799622842,0.5698402,3764.3643136024475,0.34999664953697107,7238.280709074099,1.3643136024475098,364.2807090740989
2025-06-01,34,2025-06-01 15:30:00+00:00,3639,6606,6094,20681,0.5508628519527702,0.2946666021952517,0.57852376,3821.727926015854,0.29867319932830977,6176.860435308774,182.72792601585388,82.86043530877396
2025-06-01,35,2025-06-01 16:00:00+00:00,3564,6606,5056,20681,0.5395095367847411,0.2444756056283545,0.57136846,3774.4600195884705,0.24375634753854591,5041.125023444668,210.46001958847046,-14.874976555332069
2025-06-01,36,2025-06-01 16:30:00+00:00,3488,6606,4054,20681,0.5280048440811383,0.1960253372660896,0.53701806,3547.5413088798523,0.21166642548771378,4377.473345511408,59.541308879852295,323.4733455114083
2025-06-01,37,2025-06-01 17:00:00+00:00,3387,6606,3403,20681,0.5127157129881925,0.1645471688989894,0.5024895,3319.4456845521927,0.15329468684745515,3170.28741869222,-67.55431544780731,-232.71258130778006
2025-06-01,38,2025-06-01 17:30:00+00:00,3285,6606,2825,20681,0.497275204359673,0.1365988105023935,0.4740361,3131.4824602603912,0.11743115668391525,2428.5937513800513,-153.51753973960876,-396.40624861994866
2025-06-01,39,2025-06-01 18:00:00+00:00,3046,6606,1825,20681,0.4610959733575537,0.0882452492626082,0.43801272,2893.5120227336884,0.08592220160164976,1776.9570513237188,-152.48797726631165,-48.042948676281185
2025-06-01,40,2025-06-01 18:30:00+00:00,2807,6606,1251,20681,0.4249167423554345,0.0604903051109714,0.4148853,2740.732373178005,0.0466142428652494,964.0291566962228,-66.26762682199478,-286.9708433037772
2025-06-01,41,2025-06-01 19:00:00+00:00,2754,6606,515,20681,0.4168937329700272,0.0249020840384894,0.40505666,2675.8042656183243,0.0224197576020061,463.66300696708817,-78.19573438167572,-51.336993032911835
2025-06-01,42,2025-06-01 19:30:00+00:00,2701,6606,138,20681,0.40887072358462,0.0066727914510903,0.39440733,2605.45483481884,0.006792634523989653,140.47847459063001,-95.54516518115997,2.4784745906300145
2025-06-01,43,2025-06-01 20:00:00+00:00,2689,6606,3,20681,0.4070541931577354,0.0001450606837193,0.35230896,2327.3529816269875,0.0003063172306513691,6.334946647100964,-361.64701837301254,3.3349466471009643
2025-06-01,44,2025-06-01 20:30:00+00:00,2677,6606,0,20681,0.4052376627308507,0.0,0.3244872,2143.5625047683716,1.4802508151705698e-05,0.3061306710854255,-533.4374952316284,0.3061306710854255
2025-06-01,45,2025-06-01 21:00:00+00:00,2615,6606,0,20681,0.39585225552528,0.0,0.31932095,2109.4341754317284,0.0,0.0,-505.56582456827164,0.0
2025-06-01,46,2025-06-01 21:30:00+00:00,2553,6606,0,20681,0.3864668483197093,0.0,0.3012341,1989.9524400830269,0.0,0.0,-563.0475599169731,0.0
2025-06-01,47,2025-06-01 22:00:00+00:00,2409,6606,0,20681,0.3646684831970935,0.0,0.2819939,1862.8516754508018,0.0,0.0,-546.1483245491982,0.0
2025-06-01,48,2025-06-01 22:30:00+00:00,2265,6606,0,20681,0.3428701180744777,0.0,0.29069242,1920.3141186833382,0.0,0.0,-344.68588131666183,0.0
