auction_id,product,family,direction,delivery_start_utc,delivery_end_utc,window_hours,cleared_volume_mw,clearing_price_gbp_per_mw_per_hour,availability_payment_per_mw_gbp,minimum_mw,whole_mw,bm_required,response_seconds,energy_guard_hours
2661,NQR,Quick Reserve,downward,2026-04-01 07:30:00+00:00,2026-04-01 08:00:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 07:30:00+00:00,2026-04-01 08:00:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 07:30:00+00:00,2026-04-01 08:00:00+00:00,0.5,600,19.4,9.7,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 07:30:00+00:00,2026-04-01 08:00:00+00:00,0.5,253,10.46,5.23,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 07:30:00+00:00,2026-04-01 08:00:00+00:00,0.5,1539,8.98,4.49,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 08:00:00+00:00,2026-04-01 08:30:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 08:00:00+00:00,2026-04-01 08:30:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 08:00:00+00:00,2026-04-01 08:30:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 08:00:00+00:00,2026-04-01 08:30:00+00:00,0.5,593,4.11,2.055,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 08:00:00+00:00,2026-04-01 08:30:00+00:00,0.5,378,10.75,5.375,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 08:00:00+00:00,2026-04-01 08:30:00+00:00,0.5,1539,10.22,5.11,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 08:30:00+00:00,2026-04-01 09:00:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 08:30:00+00:00,2026-04-01 09:00:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 08:30:00+00:00,2026-04-01 09:00:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 08:30:00+00:00,2026-04-01 09:00:00+00:00,0.5,600,1.48,0.74,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 08:30:00+00:00,2026-04-01 09:00:00+00:00,0.5,345,10.75,5.375,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 08:30:00+00:00,2026-04-01 09:00:00+00:00,0.5,1539,11.06,5.53,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 09:00:00+00:00,2026-04-01 09:30:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 09:00:00+00:00,2026-04-01 09:30:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 09:00:00+00:00,2026-04-01 09:30:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 09:00:00+00:00,2026-04-01 09:30:00+00:00,0.5,600,4.74,2.37,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 09:00:00+00:00,2026-04-01 09:30:00+00:00,0.5,294,9.07,4.535,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 09:00:00+00:00,2026-04-01 09:30:00+00:00,0.5,1539,12.66,6.33,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 09:30:00+00:00,2026-04-01 10:00:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 09:30:00+00:00,2026-04-01 10:00:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 09:30:00+00:00,2026-04-01 10:00:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 09:30:00+00:00,2026-04-01 10:00:00+00:00,0.5,558,16.23,8.115,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 09:30:00+00:00,2026-04-01 10:00:00+00:00,0.5,247,14.07,7.035,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 09:30:00+00:00,2026-04-01 10:00:00+00:00,0.5,1798,6.5,3.25,1,True,False,900.0,1.0
2661,DCH,Dynamic Containment,downward,2026-04-01 10:00:00+00:00,2026-04-01 14:00:00+00:00,4.0,1043,2.15,8.6,1,True,False,1.0,0.25
2661,DCL,Dynamic Containment,upward,2026-04-01 10:00:00+00:00,2026-04-01 14:00:00+00:00,4.0,1065,3.33,13.32,1,True,False,1.0,0.25
2661,DMH,Dynamic Moderation,downward,2026-04-01 10:00:00+00:00,2026-04-01 14:00:00+00:00,4.0,510,2.59,10.36,1,True,False,1.0,0.5
2661,DML,Dynamic Moderation,upward,2026-04-01 10:00:00+00:00,2026-04-01 14:00:00+00:00,4.0,530,7.7,30.8,1,True,False,1.0,0.5
2661,DRH,Dynamic Regulation,downward,2026-04-01 10:00:00+00:00,2026-04-01 14:00:00+00:00,4.0,500,-5.29,-21.16,1,True,False,10.0,1.0
2661,DRL,Dynamic Regulation,upward,2026-04-01 10:00:00+00:00,2026-04-01 14:00:00+00:00,4.0,480,21.86,87.44,1,True,False,10.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 10:00:00+00:00,2026-04-01 10:30:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 10:00:00+00:00,2026-04-01 10:30:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
