gsp_group,month,day_class,settlement_period,mean_daily_energy_share,observations
_L,11,saturday,14,0.018193422658794034,5
_L,11,saturday,15,0.01947599157091101,5
_L,11,saturday,16,0.020188921613639037,5
_L,11,saturday,17,0.021395754446330455,5
_L,11,saturday,18,0.02132116920513006,5
_L,11,saturday,19,0.020380921556708505,5
_L,11,saturday,20,0.019388712936443862,5
_L,11,saturday,21,0.018522521012007343,5
_L,11,saturday,22,0.017706457973862486,5
_L,11,saturday,23,0.017042679451083335,5
_L,11,saturday,24,0.017288320946954476,5
_L,11,saturday,25,0.017689683096824293,5
_L,11,saturday,26,0.017738188554428262,5
_L,11,saturday,27,0.018248727934898946,5
_L,11,saturday,28,0.018831419957957986,5
_L,11,saturday,29,0.01998059251118577,5
_L,11,saturday,30,0.02085582276275294,5
_L,11,saturday,31,0.022395981409965994,5
_L,11,saturday,32,0.024124065109797456,5
_L,11,saturday,33,0.026024330497301844,5
_L,11,saturday,34,0.02762937696771591,5
_L,11,saturday,35,0.029765088750692514,5
_L,11,saturday,36,0.030022746261345774,5
_L,11,saturday,37,0.029525394908979086,5
_L,11,saturday,38,0.028621679855323916,5
_L,11,saturday,39,0.02745353816872289,5
_L,11,saturday,40,0.026566278135572163,5
_L,11,saturday,41,0.025450149780152104,5
_L,11,saturday,42,0.024223824989083542,5
_L,11,saturday,43,0.022919807173495833,5
_L,11,saturday,44,0.02183749600767259,5
_L,11,saturday,45,0.02038827102705103,5
_L,11,saturday,46,0.019614120094809978,5
_L,11,saturday,47,0.018441329559973303,5
_L,11,saturday,48,0.01779206434990573,5
_L,11,sunday,1,0.019305392237932643,5
_L,11,sunday,2,0.020284112710754972,5
_L,11,sunday,3,0.01978032530482832,5
_L,11,sunday,4,0.018954319207759064,5
_L,11,sunday,5,0.018419094714617307,5
_L,11,sunday,6,0.017863628527770164,5
_L,11,sunday,7,0.017167834580004197,5
_L,11,sunday,8,0.016466656491092236,5
_L,11,sunday,9,0.01591733040308669,5
_L,11,sunday,10,0.01571495100931296,5
_L,11,sunday,11,0.015528540821641613,5
_L,11,sunday,12,0.015425182209655946,5
_L,11,sunday,13,0.016217203689387012,5
_L,11,sunday,14,0.0169265684781963,5
_L,11,sunday,15,0.017843860790018734,5
_L,11,sunday,16,0.018599821834326274,5
_L,11,sunday,17,0.019697391716370086,5
_L,11,sunday,18,0.019796578924229608,5
_L,11,sunday,19,0.01970765773839419,5
_L,11,sunday,20,0.018949049590402705,5
_L,11,sunday,21,0.018334939543010898,5
_L,11,sunday,22,0.0177441146921981,5
_L,11,sunday,23,0.017408742327747792,5
_L,11,sunday,24,0.01771666774587337,5
_L,11,sunday,25,0.01824793563944307,5
_L,11,sunday,26,0.018881426652200314,5
_L,11,sunday,27,0.019189645987252278,5
_L,11,sunday,28,0.019681267755814243,5
_L,11,sunday,29,0.020688606879597254,5
_L,11,sunday,30,0.0218610781389865,5
_L,11,sunday,31,0.02384094403053699,5
_L,11,sunday,32,0.025742131237861364,5
_L,11,sunday,33,0.028167295371020768,5
_L,11,sunday,34,0.029708892393823006,5
_L,11,sunday,35,0.031067160936324268,5
_L,11,sunday,36,0.031140544572600452,5
_L,11,sunday,37,0.030204991308405878,5
_L,11,sunday,38,0.02928183493603967,5
_L,11,sunday,39,0.02822736951546581,5
_L,11,sunday,40,0.026771307475875507,5
_L,11,sunday,41,0.02564567444645884,5
_L,11,sunday,42,0.024447943236415474,5
_L,11,sunday,43,0.0228927557934027,5
_L,11,sunday,44,0.02140212110755323,5
_L,11,sunday,45,0.019958740688444804,5
_L,11,sunday,46,0.018974650829428924,5
_L,11,sunday,47,0.017428982962463608,5
_L,11,sunday,48,0.016776732815973854,5
_L,11,weekday,1,0.017752201984562496,20
_L,11,weekday,2,0.018745202882445806,20
_L,11,weekday,3,0.018429628523807525,20
_L,11,weekday,4,0.017774396101268124,20
_L,11,weekday,5,0.017299039403135718,20
_L,11,weekday,6,0.016854408600580777,20
_L,11,weekday,7,0.016359735058365417,20
_L,11,weekday,8,0.015853999813507,20
_L,11,weekday,9,0.015411757947585081,20
_L,11,weekday,10,0.015241045110150587,20
_L,11,weekday,11,0.015471421875870302,20
_L,11,weekday,12,0.01592367526493923,20
_L,11,weekday,13,0.017981549518940446,20
_L,11,weekday,14,0.01992687654838413,20
_L,11,weekday,15,0.021911678478936096,20
_L,11,weekday,16,0.022748972858091573,20
_L,11,weekday,17,0.023358581874999874,20
_L,11,weekday,18,0.022981229843043162,20
_L,11,weekday,19,0.022498824179238326,20
_L,11,weekday,20,0.021576294292924864,20
_L,11,weekday,21,0.02036940107219886,20
_L,11,weekday,22,0.019576630843081793,20
_L,11,weekday,23,0.01906108116068873,20
_L,11,weekday,24,0.018833065952311934,20
_L,11,weekday,25,0.01908986190693224,20
_L,11,weekday,26,0.019298241550835253,20
_L,11,weekday,27,0.019667695741026912,20
_L,11,weekday,28,0.02005013385984183,20
_L,11,weekday,29,0.02065382206701615,20
_L,11,weekday,30,0.02153963370526807,20
_L,11,weekday,31,0.02261648726721698,20
_L,11,weekday,32,0.02406708167191456,20
_L,11,weekday,33,0.025737135551264854,20
_L,11,weekday,34,0.02726572974322855,20
_L,11,weekday,35,0.02820963409552411,20
_L,11,weekday,36,0.02847007086722419,20
_L,11,weekday,37,0.02811950589930337,20
_L,11,weekday,38,0.027517874550330362,20
_L,11,weekday,39,0.027042004175190277,20
_L,11,weekday,40,0.025905723403898996,20
_L,11,weekday,41,0.024793579522518296,20
_L,11,weekday,42,0.023624696330562116,20
_L,11,weekday,43,0.022288797858076505,20
_L,11,weekday,44,0.020820012894106725,20
_L,11,weekday,45,0.01945778975566006,20
_L,11,weekday,46,0.018318696970590593,20
_L,11,weekday,47,0.017018539861298917,20
_L,11,weekday,48,0.016486551562112223,20
_L,12,saturday,1,0.02039068441912978,4
