bmUnit,settlementDate,settlementPeriod,pair_count,bid_mean,offer_mean,spread,accepted,accepted_up,accepted_down
V__MCEND001,2026-08-30,18,2,126.825,141.825,14.999999999999986,0,0,0
V__MCEND001,2026-08-30,19,2,126.77,141.76999999999998,14.999999999999986,0,0,0
V__MCEND001,2026-08-30,20,2,130.97,145.97,15.0,0,0,0
V__MCEND001,2026-08-30,21,2,131.09,146.09,15.0,0,0,0
V__MCEND001,2026-08-30,22,2,126.685,141.685,15.0,0,0,0
V__MCEND001,2026-08-30,23,2,127.25,142.25,15.0,0,0,0
V__MCEND001,2026-08-30,24,2,128.65,143.65,15.0,0,0,0
V__MCEND001,2026-08-30,25,2,128.305,143.305,15.0,0,0,0
V__MCEND001,2026-08-30,26,2,127.155,142.155,15.0,0,0,0
V__MCEND001,2026-08-30,27,2,122.5,137.5,15.0,1,1,1
V__MCEND001,2026-08-30,28,2,92.0,123.5,31.5,1,0,1
V__MCEND001,2026-08-30,29,2,92.0,123.5,31.5,1,1,1
V__MCEND001,2026-08-30,30,2,130.89,145.89,15.0,1,1,1
V__MCEND001,2026-08-30,31,2,131.0,146.0,15.0,1,0,0
V__MCEND001,2026-08-30,32,2,147.5,162.5,15.0,1,1,1
V__MCEND001,2026-08-30,33,1,180.0,195.0,15.0,0,0,0
V__MCEND001,2026-08-30,34,1,180.0,195.0,15.0,0,0,0
V__MCEND001,2026-08-30,35,2,147.5,162.5,15.0,1,1,1
V__MCEND001,2026-08-30,36,2,147.5,162.5,15.0,0,0,0
V__MCEND001,2026-08-30,37,2,147.5,162.5,15.0,0,0,0
V__MCEND001,2026-08-30,38,2,115.0,162.5,47.5,1,0,1
V__MCEND001,2026-08-30,39,2,125.0,172.5,47.5,1,1,1
V__MCEND001,2026-08-30,40,2,125.0,172.5,47.5,1,0,0
V__MCEND001,2026-08-30,41,2,125.0,172.5,47.5,0,0,0
V__MCEND001,2026-08-30,42,2,125.0,172.5,47.5,0,0,0
V__MCEND001,2026-08-30,43,2,125.0,172.5,47.5,1,1,1
V__MCEND001,2026-08-30,44,2,118.95,169.475,50.52499999999999,1,1,1
V__MCEND001,2026-08-30,45,2,150.805,165.805,15.0,0,0,0
V__MCEND001,2026-08-30,46,2,146.11,161.11,15.0,0,0,0
V__MCEND001,2026-08-30,47,2,123.46,138.45999999999998,14.999999999999986,1,1,1
V__MCEND001,2026-08-30,48,2,123.46,138.45999999999998,14.999999999999986,0,0,0
V__MCEND001,2026-08-31,1,2,127.37,142.37,15.0,0,0,0
V__MCEND001,2026-08-31,2,2,127.38,142.38,15.0,0,0,0
V__MCEND001,2026-08-31,3,2,118.875,133.875,15.0,0,0,0
V__MCEND001,2026-08-31,4,2,121.115,136.115,15.000000000000014,0,0,0
V__MCEND001,2026-08-31,5,2,121.34,136.34,15.0,0,0,0
V__MCEND001,2026-08-31,6,2,122.38,137.38,15.0,0,0,0
V__MCEND001,2026-08-31,7,2,127.425,142.425,15.000000000000014,0,0,0
V__MCEND001,2026-08-31,8,2,131.49,146.49,15.0,0,0,0
V__MCEND001,2026-08-31,9,2,123.23,138.23000000000002,15.000000000000014,0,0,0
V__MCEND001,2026-08-31,10,2,125.4,140.4,15.0,0,0,0
V__MCEND001,2026-08-31,11,2,125.0,140.0,15.0,1,1,1
V__MCEND001,2026-08-31,12,2,95.0,127.5,32.5,0,0,0
V__MCEND001,2026-08-31,13,2,95.0,127.5,32.5,0,0,0
