simulation,annual_market_value_gbp,availability_fraction,available_days,capex_multiplier,fixed_opex_multiplier,degradation_multiplier,debt_rate_multiplier,project_npv_gbp,equity_npv_gbp,project_irr_fraction,equity_irr_fraction,minimum_dscr,llcr,dscr_breach,equity_irr_below_hurdle
1081,991956.502065841,0.9623496601885078,358,0.9024909725843158,1.089620588758656,0.9710551483871188,1.0055746896546973,-19778206.881680723,-17049224.66129018,-0.17410533998231212,-0.36740911630109063,0.1555949231356088,0.2026792652244468,True,True
1082,1021076.9614058807,0.9525933271160367,345,1.0286333022680005,1.063975924047731,1.0867294576211157,0.9424493576012433,-22708710.69820869,-19357847.006861154,-0.179635954779714,-0.37560312918200484,0.14831966916048614,0.19590643642328226,True,True
1083,935712.5420788,0.9542396966172106,353,1.071437507020412,0.9970056585867203,0.8602516625739084,1.0059258805153455,-23957911.555128016,-20664901.14745798,-0.18322062638458256,-0.37866994905882134,0.1380247905289941,0.1715488181940422,True,True
1084,1329938.0677249033,0.9455082217972456,345,1.1214721062037776,0.9899922841521954,1.0427134784934629,1.0090200893575982,-22498557.50241428,-19464541.633974843,-0.12720729647103937,-0.2795181392602081,0.26409868466241393,0.31820818556222075,True,True
1085,1128858.4321585111,0.9401409880975082,338,0.9911054183189578,0.9765562258542447,0.9170637130932381,1.006261799437988,-20512935.661813635,-17728684.30852044,-0.13956845265457127,-0.30067346047501786,0.23095739985434352,0.2772895376317464,True,True
1086,1029495.5765077553,0.9284221248295422,345,1.0137277388380785,1.0997130160328015,1.0404121174453458,0.860710911214896,-22383252.77720344,-18814227.496616445,-0.17942590529633215,-0.3716877336810346,0.15220993327521373,0.19978485705378896,True,True
1087,1014589.6283588064,0.9729389214890423,357,0.9241466182642519,0.9981790784430856,0.8976895877049575,0.9451642878284637,-19735948.936766185,-16854720.404234167,-0.15569985875223782,-0.3280477755666381,0.1956939544825122,0.24001023253409345,True,True
1088,1064385.3980203448,0.9583857584469881,351,1.0280459795334824,0.9908507036694106,1.153624027320852,1.1232757084550424,-22147679.543997034,-19495461.82321504,-0.16400774971692336,-0.35409530617016555,0.16931269662997664,0.21988496968710503,True,True
1089,1053045.452738804,0.9665969732285848,351,0.9942432463102346,1.027479929119363,1.0612448331468598,0.9049978046654709,-21456567.00242253,-18178402.63016049,-0.16417149424886276,-0.3447137688849792,0.17972682844881435,0.22979925666604295,True,True
1090,1111268.451607558,0.9656043175099462,351,1.156305566437211,1.0505706076908967,0.944138804080928,1.1864170038495998,-25087953.37048646,-22344172.621237423,-0.1641625673810397,-0.3522552033456894,0.16543625217513608,0.20424021677426946,True,True
1091,983093.6535649872,0.9328574320585575,348,1.1329510419484439,1.075789554557393,0.8912065277019281,1.0305207533802176,-25488653.644146055,-22069216.86305095,-0.18886469154518626,-0.39073805988411175,0.1280703309937053,0.16230753893226935,True,True
1092,953112.9329108873,0.9205027459908504,336,1.087585285970819,0.9508755632873388,1.1830114600977149,1.1172841088633485,-24281775.13501993,-21321575.989309285,-0.18775427162089312,-0.3968030155703324,0.1278485945995522,0.17166063414714428,True,True
1093,1000970.3787723167,0.9303010783427753,343,1.0558981350672552,1.0558927849394841,1.0180919134002977,1.172815270149243,-23449584.941681955,-20797816.5131911,-0.18210976672396062,-0.38691733669504813,0.13450915574979228,0.1755721141307687,True,True
1094,925707.6577620588,0.9120077801474354,329,1.0825360067409662,0.9802483144230194,0.9451396837282278,0.9835141270747995,-24301218.35428663,-20873577.660220627,-0.1876740504398393,-0.3873407200040056,0.13183397805144983,0.16773424574619705,True,True
1095,1078386.8417188283,0.9752939671506597,352,1.0765824937344197,0.9314197705114875,1.1820771014087192,1.0049989895174067,-23047985.607136637,-19876521.04244734,-0.1597183519880599,-0.340739078792317,0.18376324674669253,0.23487009272545056,True,True
1096,1149760.5282532433,0.9311089237841946,334,1.0333749695238252,0.9655511300836094,1.0898894078847952,0.980359251162824,-21524064.639786996,-18496847.42777561,-0.14464139019077138,-0.31125114265389303,0.21970317994418778,0.2727946913661352,True,True
1097,1196688.0849492108,0.95577435659469,350,0.9674723893395741,1.0610967462650556,1.0058099089251582,0.9583749806179436,-19849240.166629784,-16994612.504172917,-0.13759684012714266,-0.2974209105122669,0.23922618506105386,0.2944040117769176,True,True
1098,923353.6516325054,0.9136526210130486,334,1.0095035426090888,1.0196863169754762,0.926063788455722,1.0995138541055303,-22636219.55542638,-19826212.19545709,-0.18770277540419145,-0.39264076613094634,0.12784560564173986,0.16472903962263644,True,True
1099,1096738.0427038646,0.9381409021043569,345,1.1518206220174745,1.0525235615579325,1.065376513383077,1.0201032525719467,-25188211.233371977,-21775703.801716555,-0.17122897450195565,-0.36097117900775394,0.159780125154705,0.20397325577868747,True,True
1100,967818.4887122307,0.9534183215859439,356,0.9197231203055772,1.096936985714172,1.066118679351266,1.0292673783603905,-20480602.305277735,-17711338.094560403,-0.18796329951403115,-0.39651956410095585,0.1315852873889006,0.18037088992985909,True,True
1101,1011257.5618075173,0.9666291156151607,352,0.9861357664696735,1.000155891223024,1.0963696724575192,1.0260954390356396,-21468797.98507444,-18574324.4881344,-0.17006501225629064,-0.3609773751334687,0.16212225433316219,0.21088931328433677,True,True
1102,866528.1497390489,0.9491772428611491,343,1.090613977701157,0.992952963803004,0.9491715650578747,1.0661897109137377,-24982858.648628313,-21744266.28452011,-0.20580252344334754,-0.4237676795804488,0.10277837183146377,0.13574389383868118,True,True
1103,934974.8612255038,0.9832923460782864,355,1.0303180758538537,1.0206360594220385,0.9530868337142777,0.8980232779732968,-23095628.54104853,-19548162.197206546,-0.1877900306456943,-0.38560489101576684,0.13531574772925703,0.17433380651455838,True,True
1104,1065087.360201215,0.9885188434470434,361,0.9798092568510566,1.0087149661051458,1.1022100148579956,0.9614052435875129,-20967614.17334033,-17941269.28332671,-0.15989912853919844,-0.3398425407940311,0.18588379011308417,0.23846225749068348,True,True
1105,1141174.5181582896,0.9707157071400042,357,0.9726870927653399,0.9691590872752442,1.007244246875974,1.045285392912267,-20011777.17860868,-17414127.88313492,-0.13818026927502033,-0.301374763734665,0.23188143247627394,0.2834289063569936,True,True
1106,1103875.1540559463,0.930515004859444,345,1.1230214552427173,1.0112288260368978,0.9919800134529928,0.9145560024683286,-24192177.46021089,-20545192.531042397,-0.16063231996454383,-0.3358230502788909,0.1862997559729053,0.22997163288051103,True,True
1107,1080949.4857878122,0.900964464930477,337,1.1587373618921257,1.067995085244008,1.0378175011529065,1.0385171151398347,-25512910.51995324,-22124289.503521714,-0.17538164662735817,-0.36888443212766847,0.1512075124648989,0.19335872254748462,True,True
1108,1010061.3913695341,0.9493664423620405,350,0.9452485263080866,0.989406553918567,1.0840156386779716,0.9549588170938733,-20402989.16164466,-17436278.917229626,-0.16483767018536624,-0.34860104456520963,0.17589576397577047,0.22688657710429735,True,True
1109,1062476.737842057,0.9670050827085744,350,0.9922229187565725,1.0921393820932985,1.0361187203919973,0.9480924582249713,-21576760.05704773,-18416445.658106763,-0.16915412666277208,-0.3560366961870173,0.167587971955399,0.21673611619422453,True,True
1110,1100223.935332941,0.9402832631133213,347,0.9322375452669127,1.0695066124399277,0.9804460165378761,0.9406985016718509,-19671519.92248225,-16779588.692608263,-0.1511897588673243,-0.3217288707797556,0.20655864114235317,0.2581877962603194,True,True
1111,1161632.6468271604,0.971389512506615,356,0.8797192139670008,0.9907697991885773,0.9673273028077028,1.0676634407422643,-17592361.764948834,-15388086.737882169,-0.1263989752610687,-0.2812255544852759,0.2620760589501013,0.31778993441313874,True,True
1112,947078.9350979587,0.9493746825412251,344,1.0341979396463639,1.0609749583918404,1.0524425236272772,0.999078602256842,-23337005.697164077,-20081223.93748858,-0.1961776197725891,-0.4078000388926234,0.11938515863487446,0.16159602670912676,True,True
1113,923916.3101335627,0.9472926023275328,338,0.9582676896504928,1.0317321258065943,1.0720377960280765,0.9945975990600587,-21500684.93016714,-18485656.105395712,-0.1925520322341828,-0.40214818378796185,0.12529140247736492,0.17050646772287878,True,True
1114,989823.9982183618,0.9289677589269784,335,0.9506063838523102,0.9897282699511564,1.1488745209591413,1.075241102432026,-20729381.14291504,-18081992.305033185,-0.17248220070844725,-0.36886828277222744,0.15568724121844602,0.20681984578193782,True,True
1115,1137585.1275443216,0.945634204472174,352,0.9910040002728159,1.0555984046928804,1.1378341153470048,0.9687851546810591,-20950495.544138674,-17949184.30705091,-0.15411045936459733,-0.3305195438096738,0.19827963246164534,0.2553051100660523,True,True
1116,933751.0458604947,0.9637832863226237,350,0.9997427106615719,1.018146248887762,0.8832837930895063,0.9637219065884908,-22280547.334490128,-19076695.027467206,-0.18214797986010398,-0.3765522849183392,0.14197080346159913,0.17899140093775343,True,True
1117,1180467.9142880468,0.9998067108719526,365,1.0615473371797588,1.1114359965008453,0.8964673976029929,1.1973289190328122,-22420192.031664148,-20037474.238612503,-0.14952299148644732,-0.32668716892897126,0.19566327663648936,0.23842038389860606,True,True
1118,1041334.318737606,0.9694518164549468,356,1.0587189842929092,0.9426807189153915,1.0002696187951892,1.0088304276832465,-22766251.00403454,-19659420.91113349,-0.15964244231238328,-0.3378749410122823,0.18345204038425755,0.22669577887343081,True,True
1119,970166.6390516625,0.9073968016953932,337,1.180749365864746,1.096283424213517,0.8739978656208038,1.0750169652989985,-26846215.077589467,-23412367.810188785,-0.19723041102841432,-0.4070122182467524,0.11377136691337736,0.1453555450348282,True,True
1120,996462.1101801333,0.9689802199720062,359,0.9199867224500132,1.0022160153768134,1.1258155722471874,0.9573854535807995,-19949917.98026897,-17049438.894849952,-0.16899500707674733,-0.3578917140537512,0.1677301071954945,0.221151064326448,True,True
1121,1143781.6629054963,0.9471565897814913,348,1.112374922465991,1.0627143565800257,0.9981009527417386,1.1158698248969083,-23850403.276265252,-20987169.29276189,-0.15853826802272142,-0.3407738638371999,0.18042143885680587,0.22464220175313598,True,True
1122,1004845.931788533,0.9407351953672478,340,1.0029123068813766,1.0644961840683236,1.0281865224686668,0.9902582529985536,-22139125.268481527,-19032189.436268147,-0.17869891317012054,-0.37480213836435783,0.14777650449193053,0.19308426906488882,True,True
1123,950023.5546768652,0.9514132696627406,338,1.0051641184524818,1.0005557089527497,1.0112814163114865,1.0942161508137542,-22320062.062312286,-19533666.8310074,-0.18181617810987674,-0.3832601856496847,0.1379256751956714,0.17922023387713631,True,True
1124,937963.9288637934,0.9768768175999033,360,0.8898882069580757,1.0972903460960486,0.9160622858949548,0.9866054430984756,-19842585.32642592,-17044869.141859334,-0.1858005773833027,-0.38756095551632136,0.13589322842228815,0.1788868369381905,True,True
1125,1136660.354144989,0.9653514354167584,356,1.0850197982519558,0.9964244436652645,0.9500282141209991,0.877423447260822,-22912058.02767182,-19336113.110447817,-0.1493037308652894,-0.31298495014276706,0.21462938610305973,0.25972080045751794,True,True
1126,886214.3430983492,0.968904646128679,354,1.0176861014318848,1.0247750525113823,1.0047356224349897,1.062638604949424,-23181877.741107527,-20160366.865793686,-0.20335799999393628,-0.4220153559122242,0.10697917204008124,0.14503016886782064,True,True
1127,1082885.8258856912,0.9466313969346591,339,1.0775369973128035,0.9616971902710159,0.828842952368329,1.0941473318260486,-22873560.37409512,-20078555.67596488,-0.15006394203893147,-0.32114798063023603,0.19988921838992485,0.23656400723057186,True,True
1128,1123599.3418001954,0.9272961828833391,341,0.9397650260362799,0.9709898727479321,1.0069763310514304,1.1421898565738047,-19321606.433723412,-17114191.605267096,-0.1381303476313417,-0.30565889827495185,0.22579502502349105,0.27737046865790294,True,True
1129,1073142.7033551838,0.9238010887891399,341,1.071778673468474,1.075161204931416,0.898392432260422,1.0311160854496535,-23310212.79821066,-20204764.27328695,-0.1657161712550085,-0.3491585510815982,0.16971115414519106,0.20950186519352304,True,True
1130,980905.1863640981,0.9975758137974258,365,0.9715381441165439,1.0123020301649963,1.0394122866947788,1.0954695842646855,-21325939.73923358,-18672122.060319357,-0.1747497350501069,-0.3715031769766144,0.150324874566599,0.19552189961143465,True,True
1131,975190.8601783714,0.9265159835683507,344,0.98196328025388,1.0823568688263647,1.0460451112920042,0.887511842122034,-21911437.048723876,-18500693.30331249,-0.18778782554016035,-0.38888759542092616,0.13677350634732918,0.18328054308786323,True,True
1132,983617.4061406252,0.9546609907037573,346,1.0899141117869728,0.9681635227146983,0.9407292248568986,0.9400173438959417,-24016958.10058053,-20485618.44353367,-0.17380267811941721,-0.35995322089792214,0.1579898668149567,0.1960322330215954,True,True
1133,1153708.9454076597,0.954642803306684,342,1.0012205712088575,1.0355800288129031,0.7764814408804636,1.1143902974694102,-20696862.781806286,-18257676.35896445,-0.1373301386658228,-0.2991974713321715,0.22982690201693243,0.2692865019285848,True,True
1134,960826.0607160395,0.9715358781103874,354,1.0624037507431536,1.0332752679888595,0.8422007322779131,1.0730070317495661,-23680759.57526562,-20661973.785483677,-0.18093877453896978,-0.37712921993114773,0.13932979804915696,0.17295293061711578,True,True
1135,1263522.0379835954,0.9387951408176445,339,0.9460099748342043,0.9440124829449168,0.9558819132406445,0.9626758654671645,-18319884.043850828,-15727210.743545579,-0.11365147297684057,-0.25239178775032883,0.30930227648666303,0.3661742036543698,True,True
1136,1070477.6372311045,0.9215497893219013,335,1.049238878016905,0.9646286693926867,0.9512946671796725,1.0803486300595544,-22368422.10786026,-19570871.09490658,-0.1543328447066276,-0.3305422549623272,0.19118382274631135,0.23348687754453984,True,True
1137,1238085.6116119344,0.9605996948642519,352,1.0013075031540601,1.107975621981403,0.9577745339275054,1.090524224858192,-20540789.88846164,-18025979.19015833,-0.1368993339218645,-0.30100784964523924,0.23228677216386606,0.2837716532226031,True,True
1138,1168364.2641048115,0.9387975284846524,347,1.0831230731544514,1.0049185811749584,0.9343202344323116,0.9129888936099417,-22656274.085624892,-19246888.964020204,-0.14443189945350923,-0.30541113721603813,0.2245435724485308,0.26996934468713923,True,True
