portfolio_type,settlement_date,evaluation_segment,power_mw,energy_mwh,duration_hours,recommended_soc_pct,safe_soc_lower_pct,safe_soc_upper_pct,energy_band_feasible,preparation_action,grid_import_to_recommendation_mwh,grid_export_to_recommendation_mwh,reserve_coverage_pct,downward_reserve_required_mwh,upward_headroom_required_mwh,directional_interval_coverage_pct,before_mwh,fixed_residual_mwh,smart_residual_mwh,fixed_absorbed_pct,smart_absorbed_pct
wind,2025-10-05,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,57.75222178221847,150.02799912984898,262.8285510131095,91.66666666666666,136.5132667085924,1.4915325523974658,1.4915325523974658,98.90740835058811,98.90740835058811
wind,2025-10-06,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,61.42265365552506,221.56669818746872,247.1227123128838,100.0,74.92045983243555,0.0,0.0,100.0,100.0
wind,2025-10-07,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,76.73336353607773,178.03259054979893,189.88656137119432,87.5,102.36561550647966,0.0,0.0,100.0,100.0
wind,2025-10-08,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,93.0874773460131,146.754857703881,140.99372506701079,100.0,68.31295518822066,0.0,0.0,100.0,100.0
wind,2025-10-09,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,72.23391566975043,189.12223386012926,204.47195588644624,100.0,67.1532446967989,0.0,0.0,100.0,100.0
wind,2025-10-10,development_oof,15.0,360.0,24.0,50.0,48.52292815117381,59.353507409515565,True,hold current SOC,0.0,-0.0,100.0,131.56581070446677,116.29526265768567,60.416666666666664,103.52159463909047,0.0,0.0,100.0,100.0
wind,2025-10-11,development_oof,15.0,360.0,24.0,50.0,35.796768387248505,68.00686730285835,True,hold current SOC,0.0,-0.0,100.0,88.10266792557653,83.45807064634772,89.58333333333334,37.13176274915202,0.0,0.0,100.0,100.0
wind,2025-10-12,development_oof,15.0,360.0,24.0,50.0,34.37052417697035,68.55990696377984,True,hold current SOC,0.0,-0.0,100.0,83.23167330514084,81.35943268844477,77.08333333333334,53.85809633581974,0.0,0.0,100.0,100.0
wind,2025-10-13,development_oof,15.0,360.0,24.0,50.0,35.67729554340623,70.0425997315458,True,hold current SOC,0.0,-0.0,100.0,87.69463711609097,75.73300922876535,95.83333333333334,28.87385458739877,0.0,0.0,100.0,100.0
wind,2025-10-14,development_oof,15.0,360.0,24.0,50.0,34.66354222214462,69.60408462858626,True,hold current SOC,0.0,-0.0,100.0,84.2324060768841,77.3970570452478,95.83333333333334,43.50932674466114,0.0,0.0,100.0,100.0
wind,2025-10-15,development_oof,15.0,360.0,24.0,50.0,33.34924934727168,72.03300792650585,True,hold current SOC,0.0,-0.0,100.0,79.74375435998462,68.1799411853195,100.0,26.736243191092548,0.0,0.0,100.0,100.0
wind,2025-10-16,development_oof,15.0,360.0,24.0,50.0,32.166278906465074,73.06622897976669,True,hold current SOC,0.0,-0.0,100.0,75.70360288257416,64.25914295962859,100.0,18.98691352279736,0.0,0.0,100.0,100.0
wind,2025-10-17,development_oof,15.0,360.0,24.0,50.0,33.065451628910516,71.90582692475019,True,hold current SOC,0.0,-0.0,100.0,78.77451140042191,68.6625591540992,72.91666666666666,66.11359047760119,0.0,0.0,100.0,100.0
wind,2025-10-18,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,85.72058795527651,159.3670764257339,151.03588945263635,89.58333333333334,96.6832580796578,0.0,0.0,100.0,100.0
wind,2025-10-19,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,58.975411160456325,199.88637727758868,257.37731149530106,62.5,217.72263925945504,65.93331157137291,65.93331157137291,69.71683248208207,69.71683248208207
wind,2025-10-20,development_oof,15.0,360.0,24.0,50.0,44.51427757397476,61.09591127440928,True,hold current SOC,0.0,-0.0,100.0,117.87522724335335,109.68330487735228,81.25,68.12169053497334,0.0,0.0,100.0,100.0
wind,2025-10-21,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,76.03853280568114,179.6594303948317,188.12784139262055,89.58333333333334,99.15930591625154,0.0,0.0,100.0,100.0
wind,2025-10-22,development_oof,15.0,360.0,24.0,50.0,46.87614097099552,58.012521908083016,True,hold current SOC,0.0,-0.0,100.0,125.94160452866296,121.38394485023343,81.25,81.31974838480079,0.0,0.0,100.0,100.0
wind,2025-10-23,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,61.9569584730898,175.8065748769173,244.99157387464385,95.83333333333334,87.91193610613827,0.0,0.0,100.0,100.0
wind,2025-10-24,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,53.7061491620976,196.27274327383884,282.62932654126223,97.91666666666666,130.994924748626,0.0,0.0,100.0,100.0
wind,2025-10-25,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,55.98158310091803,152.97224128738955,271.1415420575933,87.5,188.58133042504707,36.79200273696485,36.79200273696485,80.49011391846761,80.49011391846761
wind,2025-10-26,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,56.445790894217964,164.7935442696403,268.91168550112525,74.0,157.179217691083,0.0,0.0,100.0,100.0
wind,2025-10-27,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,65.27200060635472,137.70837011416324,232.54891267007426,72.91666666666666,139.88005368841482,0.0,0.0,100.0,100.0
wind,2025-10-28,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,59.97038234509464,139.01883401168396,253.10715348557056,87.5,87.27330745096607,0.0,0.0,100.0,100.0
wind,2025-10-29,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,69.12815874028733,197.61902733807165,217.7035672009858,72.91666666666666,124.8365604488138,0.0,0.0,100.0,100.0
wind,2025-10-30,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,83.33145554090349,132.76836775331256,182.1512977336343,66.66666666666666,152.45776444046453,4.354108007268909,4.354108007268909,97.1440562419048,97.1440562419048
wind,2025-10-31,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,58.000317459820174,104.55420465224668,261.7043049690798,87.5,137.41740803176475,0.0,0.0,100.0,100.0
wind,2025-11-01,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,58.66879958756246,153.12317306756105,258.72240229074146,100.0,138.47162086486165,0.0,0.0,100.0,100.0
wind,2025-11-02,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,53.424626074234126,204.84593001967158,284.11865246781366,70.83333333333334,161.49812410347323,0.0,0.0,100.0,100.0
wind,2025-11-03,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,58.93941287100015,93.87306533968174,257.53450924307873,81.25,202.44013036502838,50.65080267694608,50.65080267694608,74.97986067010751,74.97986067010751
wind,2025-11-04,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,56.85619539792446,122.40368023203467,266.9706029848478,58.333333333333336,191.0329589672678,0.0,0.0,100.0,100.0
wind,2025-11-05,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,63.613676058148314,201.58740123054346,238.61115579821836,87.5,112.71688005882176,0.44810997521267026,0.44810997521267026,99.60244643483848,99.60244643483848
wind,2025-11-06,development_oof,15.0,360.0,24.0,50.0,45.58223652849194,60.73771182532466,True,hold current SOC,0.0,-0.0,100.0,121.52258460670753,111.04257621622219,62.5,106.43445372461929,0.0,0.0,100.0,100.0
wind,2025-11-07,development_oof,15.0,360.0,24.0,50.0,46.335166146566905,58.949960563646535,True,hold current SOC,0.0,-0.0,100.0,124.09403491849848,117.82661526831328,83.33333333333334,67.54273995892446,0.0,0.0,100.0,100.0
wind,2025-11-08,development_oof,15.0,360.0,24.0,50.0,40.686377161632855,60.56029270433833,True,hold current SOC,0.0,-0.0,100.0,104.80195256731133,111.71583444356034,77.08333333333334,63.48658297960952,0.0,0.0,100.0,100.0
wind,2025-11-09,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,64.12257393219582,198.23312444548657,236.71745904739657,70.83333333333334,156.94272890371192,12.431353633056574,12.431353633056574,92.07905092520501,92.07905092520501
wind,2025-11-10,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,89.00699931731246,153.48275525192582,165.14652358210708,81.25,78.46253261719008,0.0,0.0,100.0,100.0
wind,2025-11-11,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,62.326051499416316,134.5849763303138,243.54074104871495,75.0,117.58394194188858,0.5690482728884838,0.5690482728884838,99.51604933165983,99.51604933165983
wind,2025-11-12,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,63.72284858388693,192.55491396422963,238.20235764925286,89.58333333333334,129.70509036784458,0.0,0.0,100.0,100.0
wind,2025-11-13,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,63.20105583409805,204.51357646323933,240.16897452872817,79.16666666666666,161.07427737084333,0.2803140440169045,0.2803140440169045,99.82597218588072,99.82597218588072
wind,2025-11-14,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,57.90033105929686,124.13247294617967,262.1562345345345,68.75,100.62849087279166,0.0,0.0,100.0,100.0
wind,2025-11-15,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,66.92019477124404,172.67170929517164,226.82140750927238,100.0,53.03083857374229,0.0,0.0,100.0,100.0
wind,2025-11-16,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,92.3273365912177,147.96310601281715,144.06351696202472,97.91666666666666,62.38746155654523,0.0,0.0,100.0,100.0
wind,2025-11-17,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,89.92773877126852,151.91129765504604,165.10581351701614,100.0,46.19480770249332,0.0,0.0,100.0,100.0
wind,2025-11-18,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,93.68157284359503,145.8241901503407,150.3637355054432,89.58333333333334,79.19464905492798,0.0,0.0,100.0,100.0
wind,2025-11-19,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,55.51107671226547,226.75815680660045,273.4397109154677,52.083333333333336,299.19865290901356,147.4093252209314,147.4093252209314,50.7319555794395,50.7319555794395
wind,2025-11-20,development_oof,15.0,360.0,24.0,50.0,,,False,hold current SOC,0.0,-0.0,62.154727445302605,200.83320942740346,244.21203973850555,97.91666666666666,112.71869645961803,0.0,0.0,100.0,100.0
