power_mw,duration_hours,energy_mwh,classification,development_overall_absorbed_pct,development_days_meeting_target_pct,development_days80_pct,development_days90_pct,development_days95_pct,development_p05_daily_absorbed_pct,development_median_daily_absorbed_pct,locked_overall_absorbed_pct,locked_days_meeting_target_pct,locked_days80_pct,locked_days90_pct,locked_days95_pct,locked_p05_daily_absorbed_pct,locked_median_daily_absorbed_pct,full_overall_absorbed_pct,full_days_meeting_target_pct,full_days80_pct,full_days90_pct,full_days95_pct,power_limited_periods,energy_limited_periods,equivalent_full_cycles,grid_reset_import_mwh,grid_reset_export_mwh,mean_daily_grid_reset_import_mwh,ending_soc_pct,wind_share_pct,design_operating_mode
15.0,4.0,60.0,short-duration BESS,73.87061995224374,65.55555555555556,71.66666666666667,65.55555555555556,62.77777777777778,35.86130164538395,100.0,71.64377695795395,54.44444444444444,62.22222222222222,54.44444444444444,51.11111111111111,34.428772905280894,98.1003010910488,73.34583052161226,63.33333333333333,69.77777777777779,63.33333333333333,60.44444444444444,59,1902,115.90301433401025,3745.286430546721,3118.57833840336,8.32285873454827,32.71191063661866,0,grid_connected_daily_soc_restore_50pct
30.0,2.0,60.0,short-duration BESS,73.87061995224374,65.55555555555556,71.66666666666667,65.55555555555556,62.77777777777778,35.86130164538395,100.0,71.64377695795395,54.44444444444444,62.22222222222222,54.44444444444444,51.11111111111111,34.428772905280894,98.1003010910488,73.34583052161226,63.33333333333333,69.77777777777779,63.33333333333333,60.44444444444444,0,1904,115.90301433401025,3745.286430546721,3118.57833840336,8.32285873454827,32.71191063661866,0,grid_connected_daily_soc_restore_50pct
60.0,1.0,60.0,short-duration BESS,73.87061995224374,65.55555555555556,71.66666666666667,65.55555555555556,62.77777777777778,35.86130164538395,100.0,71.64377695795395,54.44444444444444,62.22222222222222,54.44444444444444,51.11111111111111,34.428772905280894,98.1003010910488,73.34583052161226,63.33333333333333,69.77777777777779,63.33333333333333,60.44444444444444,0,1904,115.90301433401025,3745.286430546721,3118.57833840336,8.32285873454827,32.71191063661866,0,grid_connected_daily_soc_restore_50pct
75.0,1.0,75.0,short-duration BESS,80.46547273155268,75.55555555555556,80.27777777777779,75.55555555555556,72.77777777777777,44.82500725084756,100.0,78.51395883351162,65.55555555555556,72.22222222222221,65.55555555555556,61.111111111111114,42.72463422257979,100.0,80.00556879128902,73.55555555555556,78.66666666666666,73.55555555555556,70.44444444444444,0,1461,101.14152660590601,4337.761854526716,3544.930333865417,9.639470787837146,36.169528509294956,0,grid_connected_daily_soc_restore_50pct
5.0,16.0,80.0,long-duration storage territory,76.50384580204187,60.0,74.44444444444444,60.0,50.83333333333333,45.890857509320504,95.33344110712876,75.50796704349365,48.888888888888886,63.33333333333333,48.888888888888886,43.333333333333336,45.48992132834608,89.12675923922211,76.2691518213631,57.77777777777777,72.22222222222221,57.77777777777777,49.333333333333336,1891,694,90.39189276944802,4262.252994443001,3258.6394701945355,9.471673320984445,37.89814127071496,0,grid_connected_daily_soc_restore_50pct
10.0,8.0,80.0,extended-duration BESS,82.04115071662379,77.77777777777779,82.22222222222221,77.77777777777779,75.27777777777777,47.70919724726991,100.0,80.29463304503093,65.55555555555556,73.33333333333333,65.55555555555556,64.44444444444444,45.48992132834608,100.0,81.6295572559203,75.33333333333333,80.44444444444444,75.33333333333333,73.11111111111111,358,1249,96.74488322063516,4498.2346034318125,3639.0914150265257,9.996076896515138,37.03393297746401,0,grid_connected_daily_soc_restore_50pct
20.0,4.0,80.0,short-duration BESS,82.25432116225096,78.05555555555556,82.22222222222221,78.05555555555556,76.38888888888889,47.70919724726991,100.0,80.48352887471293,65.55555555555556,73.33333333333333,65.55555555555556,65.55555555555556,45.48992132834609,100.0,81.83700701898775,75.55555555555556,80.44444444444444,75.55555555555556,74.22222222222223,7,1303,96.99074640765684,4511.390388548414,3654.340334032053,10.025311974552032,37.03393297746401,0,grid_connected_daily_soc_restore_50pct
40.0,2.0,80.0,short-duration BESS,82.25432116225096,78.05555555555556,82.22222222222221,78.05555555555556,76.38888888888889,47.70919724726991,100.0,80.48352887471293,65.55555555555556,73.33333333333333,65.55555555555556,65.55555555555556,45.48992132834609,100.0,81.83700701898775,75.55555555555556,80.44444444444444,75.55555555555556,74.22222222222223,0,1303,96.99074640765684,4511.390388548414,3654.340334032053,10.025311974552032,37.03393297746401,0,grid_connected_daily_soc_restore_50pct
15.0,6.0,90.0,extended-duration BESS,85.22176635110206,81.94444444444444,85.83333333333333,81.94444444444444,79.72222222222223,52.60236186038794,100.0,84.03283341723206,73.33333333333333,76.66666666666667,73.33333333333333,70.0,51.02049553987869,100.0,84.94157621689654,80.22222222222221,84.0,80.22222222222221,77.77777777777779,59,1084,89.48461151602821,4824.108762127625,3824.9101177480816,10.720241693616943,38.474607091079115,0,grid_connected_daily_soc_restore_50pct
25.0,4.0,100.0,short-duration BESS,87.7115840654113,85.27777777777777,88.88888888888889,85.27777777777777,82.77777777777777,57.338296114206535,100.0,87.05776937111753,75.55555555555556,84.44444444444444,75.55555555555556,73.33333333333333,56.551069751411276,100.0,87.55750268561184,83.33333333333334,88.0,83.33333333333334,80.88888888888889,1,882,83.01640393175714,5097.542435197017,3960.5853562576376,11.327872078215593,39.62714638197121,0,grid_connected_daily_soc_restore_50pct
