portfolio_type,settlement_date,gross_exposure_before_gbp,gross_exposure_after_gbp,signed_cashflow_before_gbp,signed_cashflow_after_gbp,absolute_imbalance_before_mwh,absolute_imbalance_after_mwh,peak_system_price_gbp_per_mwh,gross_exposure_reduction_gbp
mixed,2025-08-28,3479.5851341419225,1087.5148457295008,2921.2549703096197,1087.5148457295008,48.413208918861,16.64217670712494,115.0016485328058,2392.0702884124216
mixed,2025-08-29,2514.0384944429966,240.06101723484082,-87.39488048015261,240.06101723484082,32.57771846010131,4.183949825640262,137.38,2273.977477208156
mixed,2025-08-30,1615.0136331734473,428.3208312890684,-412.09963736550776,-266.7474594162998,89.26639957261753,44.334274395556804,110.11122032545514,1186.692801884379
mixed,2025-08-31,1471.9297010510138,1127.3545448960651,-733.3926751704773,-819.7121858090147,47.78565809312548,39.783132265562564,114.95,344.5751561549487
mixed,2025-09-01,2242.3892414216934,1412.2097206792448,-722.5515112733696,-1240.1969407946515,54.17268484341453,40.77788806510972,115.0,830.1795207424486
mixed,2025-09-02,2364.957659866897,0.0,1904.619528105644,0.0,26.34865937016698,0.0,128.75,2364.957659866897
mixed,2025-09-03,5745.271506273215,1768.154494082367,3232.7895008639452,1768.154494082367,54.76974369633254,15.980513305934892,139.0,3977.117012190848
mixed,2025-09-04,2280.026392674673,1429.4938898778319,878.1630088227666,1429.4938898778319,28.17321017102526,16.659981495242228,121.53062586169064,850.5325027968411
mixed,2025-09-05,2209.623105491176,0.0,-1154.6917070772843,0.0,31.81019558553041,0.0,129.0,2209.623105491176
mixed,2025-09-06,3313.319679861237,1275.9579529683717,1841.4059491277417,-79.50345206690868,102.86413893787946,63.911652164181156,115.0,2037.3617268928654
mixed,2025-09-07,3275.974864350701,3203.2484758614014,-2577.7582567032982,-2581.825143205879,123.46828407270631,121.70991329406638,106.75,72.72638848929955
mixed,2025-09-08,5254.052749217098,306.80954471648755,0.2393000549858577,-306.80954471648755,65.66404658626226,3.3431560437437846,171.9,4947.24320450061
